web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778943419-1","https://archive.ics.uci.edu/dataset/5/arrhythmia","","A Fuzzy-Rough based Binary Shuffled Frog Leaping Algorithm for Feature Selection","By Javad Anaraki, Saeed Samet, Mahdi Eftekhari, Chang Ahn. 2018","Published in ArXiv.","A Fuzzy-Rough based Binary Shuffled Frog Leaping Algorithm for Feature Selection","https://api.semanticscholar.org/CorpusID:51893327"
"1778943419-2","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Time Warp Invariant Dictionary Learning for Time Series Clustering: Application to Music Data Stream Analysis","By Saeed Yazdi, Ahlame Chouakria, Patrick Gallinari, Manuel Moussallam. 2018","Published in ECML/PKDD.","Time Warp Invariant Dictionary Learning for Time Series Clustering: Application to Music Data Stream Analysis","https://api.semanticscholar.org/CorpusID:58015362"
"1778943419-3","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Application of the Variable Precision Rough Sets Model to Estimate the Outlier Probability of Each Element","By Francisco Pérez, José Berná-Martínez, Alberto Oliva, Miguel Ortega. 2018","Published in Complexity.","Application of the Variable Precision Rough Sets Model to Estimate the Outlier Probability of Each Element","https://api.semanticscholar.org/CorpusID:53099474"
"1778943419-4","https://archive.ics.uci.edu/dataset/5/arrhythmia","","A Robust AUC Maximization Framework with Simultaneous Outlier Detection and Feature Selection for Positive-Unlabeled Classification","By Ke Ren, Haichuan Yang, Yu Zhao, Mingshan Xue, Hongyu Miao, Shuai Huang, Ji Liu. 2018","Published in ArXiv.","A Robust AUC Maximization Framework with Simultaneous Outlier Detection and Feature Selection for Positive-Unlabeled Classification","https://api.semanticscholar.org/CorpusID:4805094"
"1778943419-5","https://archive.ics.uci.edu/dataset/5/arrhythmia","","A comprehensive empirical comparison of hubness reduction in high-dimensional spaces","By Roman Feldbauer, Arthur Flexer. 2018","Published in Knowledge and Information Systems.","A comprehensive empirical comparison of hubness reduction in high-dimensional spaces","https://api.semanticscholar.org/CorpusID:67404460"
"1778943419-6","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Application of the Variable Precision Rough Sets Model to Estimate the Outlier Probability of Each Element","By Francisco Pérez, José Berná-Martínez, Alberto Oliva, Miguel Ortega. 2018","Published in Complexity.","Application of the Variable Precision Rough Sets Model to Estimate the Outlier Probability of Each Element","https://api.semanticscholar.org/CorpusID:53099474"
"1778943419-7","https://archive.ics.uci.edu/dataset/5/arrhythmia","","A Robust AUC Maximization Framework with Simultaneous Outlier Detection and Feature Selection for Positive-Unlabeled Classification","By Ke Ren, Haichuan Yang, Yu Zhao, Mingshan Xue, Hongyu Miao, Shuai Huang, Ji Liu. 2018","Published in ArXiv.","A Robust AUC Maximization Framework with Simultaneous Outlier Detection and Feature Selection for Positive-Unlabeled Classification","https://api.semanticscholar.org/CorpusID:4805094"
"1778943419-8","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Outlier Detection by Consistent Data Selection Method","By Utkarsh Porwal, Smruthi Mukund. 2017","Published in ArXiv.","Outlier Detection by Consistent Data Selection Method","https://api.semanticscholar.org/CorpusID:34643171"
"1778943419-9","https://archive.ics.uci.edu/dataset/5/arrhythmia","","New Feature Selection Model Based Ensemble Rule Classifiers Method for Dataset Classification","By Mohammad Basir, Faudziah Ahmad. 2017","Published in International Journal of Artificial Intelligence & Applications.","New Feature Selection Model Based Ensemble Rule Classifiers Method for Dataset Classification","https://api.semanticscholar.org/CorpusID:51747590"
"1778943419-10","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Resilient Linear Classification: An Approach to Deal with Attacks on Training Data","By Sangdon Park, James Weimer, Insup Lee. 2017","Published in ArXiv.","Resilient Linear Classification: An Approach to Deal with Attacks on Training Data","https://api.semanticscholar.org/CorpusID:8393576"
"1778943419-11","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Ensemble of Filter-Based Rankers to Guide an Epsilon-Greedy Swarm Optimizer for High-Dimensional Feature Subset Selection","By Mohammad Dowlatshahi, Vali Derhami, Hossein Nezamabadi-pour. 2017","Published in Information.","Ensemble of Filter-Based Rankers to Guide an Epsilon-Greedy Swarm Optimizer for High-Dimensional Feature Subset Selection","https://api.semanticscholar.org/CorpusID:40245297"
"1778943419-12","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Nonconvex Sparse Logistic Regression with Weakly Convex Regularization","By Xinyue Shen, Yuantao Gu. 2017","Published in ArXiv.","Nonconvex Sparse Logistic Regression with Weakly Convex Regularization","https://api.semanticscholar.org/CorpusID:19240574"
"1778943419-13","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Attribute Reduction-Based Ensemble Rule Classifiers Method for Dataset Classification","By Mohammad Basir, Faudziah Ahmad. 2017","Published in ICIT 2017.","Attribute Reduction-Based Ensemble Rule Classifiers Method for Dataset Classification","https://api.semanticscholar.org/CorpusID:28115855"
"1778943419-14","https://archive.ics.uci.edu/dataset/5/arrhythmia","","One-Class Classification Based on Extreme Learning and Geometric Class Information","By Alexandros Iosifidis, Vasileios Mygdalis, Anastasios Tefas, Ioannis Pitas. 2016","Published in Neural Processing Letters.","One-Class Classification Based on Extreme Learning and Geometric Class Information","https://api.semanticscholar.org/CorpusID:6954793"
"1778943419-15","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Multi-Task Regularization with Covariance Dictionary for Linear Classifiers","By Fanyi Xiao, Ruikun Luo, Zhiding Yu. 2013","Published in ArXiv.","Multi-Task Regularization with Covariance Dictionary for Linear Classifiers","https://api.semanticscholar.org/CorpusID:14358746"
"1778943419-16","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Privacy Preserving Similarity Measurement","By Zhang Guo-rong. 2011","Published in International Journal of Wireless and Microwave Technologies.","Privacy Preserving Similarity Measurement","https://api.semanticscholar.org/CorpusID:59023787"
"1778943419-17","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Mining Complex, Maximal and Complete Sub-graphs and Sets of Correlated Variables with Applications to Feature Subset Selection","By Florian Verhein. 2008","Published in SDM.","Mining Complex, Maximal and Complete Sub-graphs and Sets of Correlated Variables with Applications to Feature Subset Selection","https://api.semanticscholar.org/CorpusID:13942834"
"1778943419-18","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Feature Selection via Coalitional Game Theory","By Shay Cohen, Gideon Dror, Eytan Ruppin. 2007","Published in Neural Computation.","Feature Selection via Coalitional Game Theory","https://api.semanticscholar.org/CorpusID:1270999"
"1778943419-19","https://archive.ics.uci.edu/dataset/5/arrhythmia","","Achieving Privacy Preservation When Sharing Data for Clustering","By Stanley Oliveira, Osmar Zaïane. 2004","Published in In Proc. of the Workshop on Secure Data Management in a Connected World (SDM’04) in conjunction with VLDB’2004.","Achieving Privacy Preservation When Sharing Data for Clustering","https://api.semanticscholar.org/CorpusID:13339946"
