web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778828826-1","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Machine learning in medicine: a practical introduction","By Jenni Sidey-Gibbons, Chris Sidey-Gibbons. 2019","Published in BMC medical research methodology.","Machine learning in medicine: a practical introduction","https://api.semanticscholar.org/CorpusID:84183143"
"1778828826-2","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Data Augmentation Using GANs","By Fabio Tanaka, Claus Aranha. 2019","Published in ArXiv.","Data Augmentation Using GANs","https://api.semanticscholar.org/CorpusID:126180363"
"1778828826-3","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Empirical study towards understanding line search approximations for training neural networks","By Younghwan Chae, Daniel Wilke. 2019","Published in","Empirical study towards understanding line search approximations for training neural networks","https://api.semanticscholar.org/CorpusID:202578064"
"1778828826-4","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Interpretable Counterfactual Explanations Guided by Prototypes","By Arnaud Looveren, Janis Klaise. 2019","Published in ArXiv.","Interpretable Counterfactual Explanations Guided by Prototypes","https://api.semanticscholar.org/CorpusID:195820639"
"1778828826-5","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","PIDT: A Novel Decision Tree Algorithm Based on Parameterised Impurities and Statistical Pruning Approaches","By Daniel Stamate, Wajdi Alghamdi, Daniel Stahl, Doina Logofatu, Alexander Zamyatin. 2018","Published in AIAI.","PIDT: A Novel Decision Tree Algorithm Based on Parameterised Impurities and Statistical Pruning Approaches","https://api.semanticscholar.org/CorpusID:46896638"
"1778828826-6","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Mixtures of Factor Analyzers with Fundamental Skew Symmetric Distributions","By Sharon Lee, Tsung-I Lin, Geoffrey McLachlan. 2018","Published in","Mixtures of Factor Analyzers with Fundamental Skew Symmetric Distributions","https://api.semanticscholar.org/CorpusID:88522941"
"1778828826-7","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Machine Learning Approaches for Cancer Detection","By Ayush Sharma, Sudhanshu Kulshrestha, Sibi Daniel. 2018","Published in International Journal of Engineering and Manufacturing.","Machine Learning Approaches for Cancer Detection","https://api.semanticscholar.org/CorpusID:55082179"
"1778828826-8","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Data Clustering: An Approach for Evaluating the Adequate Number of Groups in Partitioned Techniques","By Guillermo Castillo, Yaimara González, Alejandro Mena. 2017","Published in Journal of Computer Science and Information Technology.","Data Clustering: An Approach for Evaluating the Adequate Number of Groups in Partitioned Techniques","https://api.semanticscholar.org/CorpusID:53618231"
"1778828826-9","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Bagging-Based Logistic Regression With Spark: A Medical Data Mining Method","By Jian Pan, Yiang Hua, Xingtian Liu, Zhiqiang Chen, Zhaofeng Yan. 2016","Published in Proceedings of the 2nd International Conference on Advances in Mechanical Engineering and Industrial Informatics (AMEII 2016).","Bagging-Based Logistic Regression With Spark: A Medical Data Mining Method","https://api.semanticscholar.org/CorpusID:55949362"
"1778828826-10","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","A Sampling Kaczmarz-Motzkin Algorithm for Linear Feasibility","By Jesus Loera, Jamie Haddock, Deanna Needell. 2016","Published in SIAM J. Scientific Computing.","A Sampling Kaczmarz-Motzkin Algorithm for Linear Feasibility","https://api.semanticscholar.org/CorpusID:12442460"
"1778828826-11","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","A genetic programming approach to oral cancer prognosis","By Mei Tan, Jing Tan, Siow-Wee Chang, Hwa Yap, Sameem Abdul Kareem, Rosnah Zain. 2016","Published in PeerJ.","A genetic programming approach to oral cancer prognosis","https://api.semanticscholar.org/CorpusID:1506999"
"1778828826-12","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","A New Algorithm to Optimize Maximal Information Coefficient","By Yuan Chen, Ying Zeng, Feng Luo, Zheming Yuan. 2016","Published in PloS one.","A New Algorithm to Optimize Maximal Information Coefficient","https://api.semanticscholar.org/CorpusID:12264534"
"1778828826-13","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Bias-variance decomposition in Genetic Programming","By Taras Kowaliw, René Doursat. 2016","Published in Open Mathematics.","Bias-variance decomposition in Genetic Programming","https://api.semanticscholar.org/CorpusID:41287763"
"1778828826-14","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Model Selection and Overfitting in Genetic Programming: Empirical Study [Extended Version]","By Jan vZegklitz, Petr Povs'ik. 2015","Published in ArXiv.","Model Selection and Overfitting in Genetic Programming: Empirical Study [Extended Version]","https://api.semanticscholar.org/CorpusID:627183"
"1778828826-15","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Semisupervised Tangent Space Discriminant Analysis","By Yang Zhou, Shiliang Sun. 2015","Published in Mathematical Problems in Engineering.","Semisupervised Tangent Space Discriminant Analysis","https://api.semanticscholar.org/CorpusID:51827293"
"1778828826-16","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Constrained Extreme Learning Machines: A Study on Classification Cases","By Wentao Zhu, Jun Miao, Laiyun Qing. 2015","Published in ArXiv.","Constrained Extreme Learning Machines: A Study on Classification Cases","https://api.semanticscholar.org/CorpusID:5984495"
"1778828826-17","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Model Selection and Overfitting in Genetic Programming: Empirical Study [Extended Version]","By Jan vZegklitz, Petr Povs'ik. 2015","Published in ArXiv.","Model Selection and Overfitting in Genetic Programming: Empirical Study [Extended Version]","https://api.semanticscholar.org/CorpusID:627183"
"1778828826-18","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Active Learning Via Sequential Design and Uncertainty Sampling","By Jing Wang, Eunsik Park, Yuan-chin Chang. 2014","Published in","Active Learning Via Sequential Design and Uncertainty Sampling","https://api.semanticscholar.org/CorpusID:60446966"
"1778828826-19","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Performance of Resampling Methods Based on Decision Trees, Parametric and Nonparametric Bayesian Classifiers for Three Medical Datasets","By Małgorzata Ćwiklińska-Jurkowska. 2013","Published in Studies in Logic, Grammar and Rhetoric.","Performance of Resampling Methods Based on Decision Trees, Parametric and Nonparametric Bayesian Classifiers for Three Medical Datasets","https://api.semanticscholar.org/CorpusID:73560660"
"1778828826-20","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","An Ensemble-Based Feature Selection Algorithm Using Combination of Support Vector Machine and Filter Methods for Solving Classification Problems","By Lev Utkin, Yulia Zhuk, Anatoly Chekh. 2013","Published in European Journal of Technology and Design.","An Ensemble-Based Feature Selection Algorithm Using Combination of Support Vector Machine and Filter Methods for Solving Classification Problems","https://api.semanticscholar.org/CorpusID:55415889"
"1778828826-21","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","Probabilistic Classification using Fuzzy Support Vector Machines","By Marzieh Parandehgheibi. 2013","Published in ArXiv.","Probabilistic Classification using Fuzzy Support Vector Machines","https://api.semanticscholar.org/CorpusID:17590418"
"1778828826-22","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","On the Success Rate of Crossover Operators for Genetic Programming with Offspring Selection","By Gabriel Kronberger, Stephan Winkler, Michael Affenzeller, Andreas Beham, Stefan Wagner. 2013","Published in Computer Aided Systems Theory - EUROCAST 2009, Lecture Notes in Computer Science Volume 5717, 2009, pp 793-800, Springer.","On the Success Rate of Crossover Operators for Genetic Programming with Offspring Selection","https://api.semanticscholar.org/CorpusID:14002628"
"1778828826-23","https://archive.ics.uci.edu/dataset/17/breast+cancer+wisconsin+diagnostic","","HC-CART: A parallel system implementation of data mining classification and regression tree (CART) algorithm on a multi-FPGA system","By Grigorios Chrysos, Panagiotis Dagritzikos, Ioannis Papaefstathiou, Apostolos Dollas. 2013","Published in TACO.","HC-CART: A parallel system implementation of data mining classification and regression tree (CART) algorithm on a multi-FPGA system","https://api.semanticscholar.org/CorpusID:16346801"
