web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778921959-1","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Combining Prediction Intervals on Multi-Source Non-Disclosed Regression Datasets","By Ola Spjuth, Robin Brannstrom, Lars Carlsson, Niharika Gauraha. 2019","Published in ArXiv.","Combining Prediction Intervals on Multi-Source Non-Disclosed Regression Datasets","https://api.semanticscholar.org/CorpusID:199668727"
"1778921959-2","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","SelectiveNet: A Deep Neural Network with an Integrated Reject Option","By Yonatan Geifman, Ran El-Yaniv. 2019","Published in ArXiv.","SelectiveNet: A Deep Neural Network with an Integrated Reject Option","https://api.semanticscholar.org/CorpusID:59316904"
"1778921959-3","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Mixed-Integer Convex Nonlinear Optimization with Gradient-Boosted Trees Embedded","By Miten Mistry, Dimitrios Letsios, Gerhard Krennrich, Robert Lee, Ruth Misener. 2018","Published in","Mixed-Integer Convex Nonlinear Optimization with Gradient-Boosted Trees Embedded","https://api.semanticscholar.org/CorpusID:52932734"
"1778921959-4","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Handling limited datasets with neural networks in medical applications: A small-data approach.","By Torgyn Shaikhina, Natalia Khovanova. 2017","Published in Artificial intelligence in medicine.","Handling limited datasets with neural networks in medical applications: A small-data approach.","https://api.semanticscholar.org/CorpusID:4193287"
"1778921959-5","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Learning Linear Feature Space Transformations in Symbolic Regression","By Jan vZegklitz, Petr Povs'ik. 2017","Published in ArXiv.","Learning Linear Feature Space Transformations in Symbolic Regression","https://api.semanticscholar.org/CorpusID:15020848"
"1778921959-6","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Rough-fuzzy rule interpolation","By Chengyuan Chen, Neil MacParthalain, Ying Li, Chris Price, Hiok Quek, Qiang Shen. 2016","Published in Inf. Sci..","Rough-fuzzy rule interpolation","https://api.semanticscholar.org/CorpusID:29336691"
"1778921959-7","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Consistent Estimation for Partition-wise Regression and Classification Models","By Rex Cheung, Alexander Aue, Thomas Lee. 2016","Published in IEEE Transactions on Signal Processing.","Consistent Estimation for Partition-wise Regression and Classification Models","https://api.semanticscholar.org/CorpusID:12155517"
"1778921959-8","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Re-scale boosting for regression and classification","By Shaobo Lin, Yao Wang, Lin Xu. 2015","Published in ArXiv.","Re-scale boosting for regression and classification","https://api.semanticscholar.org/CorpusID:15767802"
"1778921959-9","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Enabling scalable stochastic gradient-based inference for Gaussian processes by employing the Unbiased LInear System SolvEr (ULISSE)","By Maurizio Filippone, Raphael Engler. 2015","Published in ICML.","Enabling scalable stochastic gradient-based inference for Gaussian processes by employing the Unbiased LInear System SolvEr (ULISSE)","https://api.semanticscholar.org/CorpusID:14363519"
"1778921959-10","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Least Absolute Deviation Support Vector Regression","By Kuaini Wang, Jingjing Zhang, Yanyan Chen, Ping Zhong. 2014","Published in Mathematical Problems in Engineering.","Least Absolute Deviation Support Vector Regression","https://api.semanticscholar.org/CorpusID:54592123"
"1778921959-11","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Improvements to the Levenberg-Marquardt algorithm for nonlinear least-squares minimization","By Mark Transtrum, James Sethna. 2012","Published in","Improvements to the Levenberg-Marquardt algorithm for nonlinear least-squares minimization","https://api.semanticscholar.org/CorpusID:115140679"
"1778921959-12","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Learning concurrently partition granularities and rule bases of Mamdani fuzzy systems in a multi-objective evolutionary framework","By Michela Antonelli, Pietro Ducange, Beatrice Lazzerini, Francesco Marcelloni. 2009","Published in Int. J. Approx. Reasoning.","Learning concurrently partition granularities and rule bases of Mamdani fuzzy systems in a multi-objective evolutionary framework","https://api.semanticscholar.org/CorpusID:25707445"
"1778921959-13","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Dirichlet Process Mixtures of Generalized Linear Models","By Lauren Hannah, David Blei, Warren Powell. 2009","Published in In Proceedings of the international conference on artificial intelligence and statistics.","Dirichlet Process Mixtures of Generalized Linear Models","https://api.semanticscholar.org/CorpusID:1520660"
"1778921959-14","https://archive.ics.uci.edu/dataset/165/concrete+compressive+strength","","Forest Garrote","By Nicolai Meinshausen. 2009","Published in Electronic Journal of Statistics.","Forest Garrote","https://api.semanticscholar.org/CorpusID:11771572"
