web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778944706-1","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","A Symbolic Approach to Explaining Bayesian Network Classifiers","By Andy Shih, Arthur Choi, Adnan Darwiche. 2018","Published in ArXiv.","A Symbolic Approach to Explaining Bayesian Network Classifiers","https://api.semanticscholar.org/CorpusID:13664459"
"1778944706-2","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Shaking the trees: Abilities and Capabilities of Regression and Decision Trees for Political Science","By Christoph Waldhauser, Ronald Hochreiter. 2017","Published in ITM Web of Conferences.","Shaking the trees: Abilities and Capabilities of Regression and Decision Trees for Political Science","https://api.semanticscholar.org/CorpusID:55246873"
"1778944706-3","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Using Ramsey theory to measure unavoidable spurious correlations in Big Data","By Micheal Pawliuk, Michael Waddell. 2017","Published in Axioms.","Using Ramsey theory to measure unavoidable spurious correlations in Big Data","https://api.semanticscholar.org/CorpusID:55669436"
"1778944706-4","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Don't Fear the Bit Flips: Optimized Coding Strategies for Binary Classification","By Frederic Sala, Shahroze Kabir, Guy Broeck, Lara Dolecek. 2017","Published in ArXiv.","Don't Fear the Bit Flips: Optimized Coding Strategies for Binary Classification","https://api.semanticscholar.org/CorpusID:1509126"
"1778944706-5","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","GALILEO: A Generalized Low-Entropy Mixture Model","By Cetin Savkli, Jeffrey Lin, Philip Graff, Matthew Kinsey. 2017","Published in Proceedings of the International Conference on Data Mining (DMIN 17). The Steering Committee of The World Congress in Computer Science, Computer Engineering and Applied Computing (WorldComp). 2017.","GALILEO: A Generalized Low-Entropy Mixture Model","https://api.semanticscholar.org/CorpusID:36119137"
"1778944706-6","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Toward a Robust Crowd-labeling Framework using Expert Evaluation and Pairwise Comparison","By Faiza Khattak, Ansaf Salleb-Aouissi. 2016","Published in ArXiv.","Toward a Robust Crowd-labeling Framework using Expert Evaluation and Pairwise Comparison","https://api.semanticscholar.org/CorpusID:16746224"
"1778944706-7","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","S2: An Efficient Graph Based Active Learning Algorithm with Application to Nonparametric Classification","By Gautam Dasarathy, Robert Nowak, Xiaojin Zhu. 2015","Published in ArXiv.","S2: An Efficient Graph Based Active Learning Algorithm with Application to Nonparametric Classification","https://api.semanticscholar.org/CorpusID:9619066"
"1778944706-8","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","The Parameter-less Randomized Gravitational Clustering algorithm with online clusters’ structure characterization","By Jonatan Gomez, Elizabeth Leon, Olfa Nasraoui, Fabian Giraldo. 2014","Published in Progress in Artificial Intelligence.","The Parameter-less Randomized Gravitational Clustering algorithm with online clusters’ structure characterization","https://api.semanticscholar.org/CorpusID:8481950"
"1778944706-9","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Evidence for Hubs in Human Functional Brain Networks","By Jonathan Power, Bradley Schlaggar, Christina Lessov-Schlaggar, Steven Petersen. 2013","Published in Neuron.","Evidence for Hubs in Human Functional Brain Networks","https://api.semanticscholar.org/CorpusID:1968263"
"1778944706-10","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Mixture of Latent Trait Analyzers for Model-Based Clustering of Categorical Data","By Isabella Gollini, Thomas Murphy. 2013","Published in Statistics and Computing.","Mixture of Latent Trait Analyzers for Model-Based Clustering of Categorical Data","https://api.semanticscholar.org/CorpusID:19589220"
"1778944706-11","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Dynamic Rule Mining for Argumentation Based Systems","By Maya Wardeh, Trevor Bench-Capon, Frans Coenen. 2007","Published in SGAI Conf..","Dynamic Rule Mining for Argumentation Based Systems","https://api.semanticscholar.org/CorpusID:17781783"
"1778944706-12","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Clustering aggregation","By Aristides Gionis, Heikki Mannila, Panayiotis Tsaparas. 2007","Published in TKDD.","Clustering aggregation","https://api.semanticscholar.org/CorpusID:433708"
"1778944706-13","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Generalizing the k-Windows clustering algorithm in metric spaces","By Dimitris Tasoulis, Michael Vrahatis. 2006","Published in Mathematical and Computer Modelling.","Generalizing the k-Windows clustering algorithm in metric spaces","https://api.semanticscholar.org/CorpusID:6335194"
"1778944706-14","https://archive.ics.uci.edu/dataset/105/congressional+voting+records","","Nomograms for Visualization of Naive Bayesian Classifier","By Martin Mozina, Janez Demsar, Michael Kattan, Blaz Zupan. 2004","Published in PKDD.","Nomograms for Visualization of Naive Bayesian Classifier","https://api.semanticscholar.org/CorpusID:11769460"
