web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778923264-1","https://archive.ics.uci.edu/dataset/31/covertype","","A Quantum Annealing-Based Approach to Extreme Clustering","By Tim Jaschek, Marko Bucyk, Jaspreet Oberoi. 2019","Published in ArXiv.","A Quantum Annealing-Based Approach to Extreme Clustering","https://api.semanticscholar.org/CorpusID:84187261"
"1778923264-2","https://archive.ics.uci.edu/dataset/31/covertype","","Communication-Censored Distributed Stochastic Gradient Descent","By Weiyu Li, Tianyi Chen, Liping Li, Qing Ling. 2019","Published in ArXiv.","Communication-Censored Distributed Stochastic Gradient Descent","https://api.semanticscholar.org/CorpusID:202539114"
"1778923264-3","https://archive.ics.uci.edu/dataset/31/covertype","","Ultra-Scalable Spectral Clustering and Ensemble Clustering","By Dong Huang, Chang-Dong Wang, Jian-Sheng Wu, Jian-Huang Lai, Chee-Keong Kwoh. 2019","Published in ArXiv.","Ultra-Scalable Spectral Clustering and Ensemble Clustering","https://api.semanticscholar.org/CorpusID:67855861"
"1778923264-4","https://archive.ics.uci.edu/dataset/31/covertype","","Adaptive scale-invariant online algorithms for learning linear models","By Michal Kempka, Wojciech Kotlowski, Manfred Warmuth. 2019","Published in ArXiv.","Adaptive scale-invariant online algorithms for learning linear models","https://api.semanticscholar.org/CorpusID:67771624"
"1778923264-5","https://archive.ics.uci.edu/dataset/31/covertype","","A Practical Framework for Solving Center-Based Clustering with Outliers","By Hu Ding, Haikuo Yu. 2019","Published in ArXiv.","A Practical Framework for Solving Center-Based Clustering with Outliers","https://api.semanticscholar.org/CorpusID:165163746"
"1778923264-6","https://archive.ics.uci.edu/dataset/31/covertype","","Asynchronous Decentralized Optimization in Directed Networks","By Jiaqi Zhang, Keyou You. 2019","Published in ArXiv.","Asynchronous Decentralized Optimization in Directed Networks","https://api.semanticscholar.org/CorpusID:59222801"
"1778923264-7","https://archive.ics.uci.edu/dataset/31/covertype","","Smoothed Hinge Loss and $ell^{1}$ Support Vector Machines","By Jeffrey Hajewski, Suely Oliveira, David Stewart. 2018","Published in","Smoothed Hinge Loss and $ell^{1}$ Support Vector Machines","https://api.semanticscholar.org/CorpusID:119162612"
"1778923264-8","https://archive.ics.uci.edu/dataset/31/covertype","","k-Nearest Neighbors by Means of Sequence to Sequence Deep Neural Networks and Memory Networks","By Yiming Xu, Diego Klabjan. 2018","Published in ArXiv.","k-Nearest Neighbors by Means of Sequence to Sequence Deep Neural Networks and Memory Networks","https://api.semanticscholar.org/CorpusID:13744683"
"1778923264-9","https://archive.ics.uci.edu/dataset/31/covertype","","Fast Global Convergence via Landscape of Empirical Loss","By Chao Qu, Yan Li, Huan Xu. 2018","Published in ArXiv.","Fast Global Convergence via Landscape of Empirical Loss","https://api.semanticscholar.org/CorpusID:26538334"
"1778923264-10","https://archive.ics.uci.edu/dataset/31/covertype","","Constant Step Size Stochastic Gradient Descent for Probabilistic Modeling","By Dmitry Babichev, Francis Bach. 2018","Published in ArXiv.","Constant Step Size Stochastic Gradient Descent for Probabilistic Modeling","https://api.semanticscholar.org/CorpusID:4886937"
