web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778835144-1","https://archive.ics.uci.edu/dataset/34/diabetes","","Uncoupled Regression from Pairwise Comparison Data","By Liyuan Xu, Junya Honda, Gang Niu, Masashi Sugiyama. 2019","Published in ArXiv.","Uncoupled Regression from Pairwise Comparison Data","https://api.semanticscholar.org/CorpusID:173187986"
"1778835144-2","https://archive.ics.uci.edu/dataset/34/diabetes","","Scalable Fair Clustering","By Arturs Backurs, Piotr Indyk, Krzysztof Onak, Baruch Schieber, Ali Vakilian, Tal Wagner. 2019","Published in ArXiv.","Scalable Fair Clustering","https://api.semanticscholar.org/CorpusID:60440509"
"1778835144-3","https://archive.ics.uci.edu/dataset/34/diabetes","","Hierarchical Total Variations and Doubly Penalized ANOVA Modeling for Multivariate Nonparametric Regression","By Ting Yang, Zhiqiang Tan. 2019","Published in","Hierarchical Total Variations and Doubly Penalized ANOVA Modeling for Multivariate Nonparametric Regression","https://api.semanticscholar.org/CorpusID:189928111"
"1778835144-4","https://archive.ics.uci.edu/dataset/34/diabetes","","SAFE ML: Surrogate Assisted Feature Extraction for Model Learning","By Alicja Gosiewska, Aleksandra Gacek, Piotr Lubon, Przemyslaw Biecek. 2019","Published in ArXiv.","SAFE ML: Surrogate Assisted Feature Extraction for Model Learning","https://api.semanticscholar.org/CorpusID:67855562"
"1778835144-5","https://archive.ics.uci.edu/dataset/34/diabetes","","Rank-one Convexification for Sparse Regression","By Alper Atamturk, Andres Gomez. 2019","Published in ArXiv.","Rank-one Convexification for Sparse Regression","https://api.semanticscholar.org/CorpusID:59336319"
"1778835144-6","https://archive.ics.uci.edu/dataset/34/diabetes","","Hierarchical Total Variations and Doubly Penalized ANOVA Modeling for Multivariate Nonparametric Regression","By Ting Yang, Zhiqiang Tan. 2019","Published in","Hierarchical Total Variations and Doubly Penalized ANOVA Modeling for Multivariate Nonparametric Regression","https://api.semanticscholar.org/CorpusID:189928111"
"1778835144-7","https://archive.ics.uci.edu/dataset/34/diabetes","","Scalable Fair Clustering","By Arturs Backurs, Piotr Indyk, Krzysztof Onak, Baruch Schieber, Ali Vakilian, Tal Wagner. 2019","Published in ArXiv.","Scalable Fair Clustering","https://api.semanticscholar.org/CorpusID:60440509"
"1778835144-8","https://archive.ics.uci.edu/dataset/34/diabetes","","Classification with Costly Features as a Sequential Decision-Making Problem","By Jarom'ir Janisch, Tom'avs Pevn'y, Viliam Lis'y. 2019","Published in ArXiv.","Classification with Costly Features as a Sequential Decision-Making Problem","https://api.semanticscholar.org/CorpusID:202235481"
"1778835144-9","https://archive.ics.uci.edu/dataset/34/diabetes","","A Hardware-Efficient ADMM-Based SVM Training Algorithm for Edge Computing","By Shuo-An Huang, Chia-Hsiang Yang. 2019","Published in ArXiv.","A Hardware-Efficient ADMM-Based SVM Training Algorithm for Edge Computing","https://api.semanticscholar.org/CorpusID:198179886"
"1778835144-10","https://archive.ics.uci.edu/dataset/34/diabetes","","Provably Robust Boosted Decision Stumps and Trees against Adversarial Attacks","By Maksym Andriushchenko, Matthias Hein. 2019","Published in ArXiv.","Provably Robust Boosted Decision Stumps and Trees against Adversarial Attacks","https://api.semanticscholar.org/CorpusID:182953083"
"1778835144-11","https://archive.ics.uci.edu/dataset/34/diabetes","","Semiparametric Classification of Forest Graphical Models","By Mary Dorn, Amit Moscovich, Boaz Nadler, Clifford Spiegelman. 2018","Published in ArXiv.","Semiparametric Classification of Forest Graphical Models","https://api.semanticscholar.org/CorpusID:46944809"
"1778835144-12","https://archive.ics.uci.edu/dataset/34/diabetes","","Incremental Gene Expression Programming Classifier with Metagenes and Data Reduction","By Joanna Jedrzejowicz, Piotr Jedrzejowicz. 2018","Published in Complexity.","Incremental Gene Expression Programming Classifier with Metagenes and Data Reduction","https://api.semanticscholar.org/CorpusID:59336135"
"1778835144-13","https://archive.ics.uci.edu/dataset/34/diabetes","","Weight-based search to find clusters around medians in subspaces","By Sergio Peignier, Christophe Rigotti, Anthony Rossi, Guillaume Beslon. 2018","Published in SAC '18.","Weight-based search to find clusters around medians in subspaces","https://api.semanticscholar.org/CorpusID:49561761"
"1778835144-14","https://archive.ics.uci.edu/dataset/34/diabetes","","A Method of Biomedical Information Classification based on Particle Swarm Optimization with Inertia Weight and Mutation","By Mi Li, Ming Zhang, Huan Chen, Shengfu Lu. 2018","Published in Open Life Sciences.","A Method of Biomedical Information Classification based on Particle Swarm Optimization with Inertia Weight and Mutation","https://api.semanticscholar.org/CorpusID:91813107"
