web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778943936-1","https://archive.ics.uci.edu/dataset/121/eeg+database","","Efficient Deep Gaussian Process Models for Variable-Sized Input","By Issam Laradji, Mark Schmidt, Vladimir Pavlovic, Minyoung Kim. 2019","Published in ArXiv.","Efficient Deep Gaussian Process Models for Variable-Sized Input","https://api.semanticscholar.org/CorpusID:158047038"
"1778943936-2","https://archive.ics.uci.edu/dataset/121/eeg+database","","Compensated Integrated Gradients to Reliably Interpret EEG Classification","By Kazuki Tachikawa, Yuji Kawai, Jihoon Park, Minoru Asada. 2018","Published in ArXiv.","Compensated Integrated Gradients to Reliably Interpret EEG Classification","https://api.semanticscholar.org/CorpusID:53783980"
"1778943936-3","https://archive.ics.uci.edu/dataset/121/eeg+database","","On Acceleration with Noise-Corrupted Gradients","By Michael Cohen, Jelena Diakonikolas, Lorenzo Orecchia. 2018","Published in ArXiv.","On Acceleration with Noise-Corrupted Gradients","https://api.semanticscholar.org/CorpusID:49391749"
"1778943936-4","https://archive.ics.uci.edu/dataset/121/eeg+database","","One-Class Kernel Spectral Regression","By Shervin Arashloo, Josef Kittler. 2018","Published in","One-Class Kernel Spectral Regression","https://api.semanticscholar.org/CorpusID:60440393"
"1778943936-5","https://archive.ics.uci.edu/dataset/121/eeg+database","","Practical methods for graph two-sample testing","By Debarghya Ghoshdastidar, Ulrike Luxburg. 2018","Published in ArXiv.","Practical methods for graph two-sample testing","https://api.semanticscholar.org/CorpusID:53582189"
"1778943936-6","https://archive.ics.uci.edu/dataset/121/eeg+database","","m-TSNE: A Framework for Visualizing High-Dimensional Multivariate Time Series","By Minh Nguyen, Sanjay Purushotham, Hien To, Cyrus Shahabi. 2017","Published in ArXiv.","m-TSNE: A Framework for Visualizing High-Dimensional Multivariate Time Series","https://api.semanticscholar.org/CorpusID:11771620"
"1778943936-7","https://archive.ics.uci.edu/dataset/121/eeg+database","","Smoothing spline ANOVA for super-large samples: Scalable computation via rounding parameters","By Nathaniel Helwig, Ping Ma. 2016","Published in Statistics and Its Interface.","Smoothing spline ANOVA for super-large samples: Scalable computation via rounding parameters","https://api.semanticscholar.org/CorpusID:61363364"
"1778943936-8","https://archive.ics.uci.edu/dataset/121/eeg+database","","Neurokey: Towards a new paradigm of cancelable biometrics-based key generation using electroencephalograms","By Garima Bajwa, Ram Dantu. 2016","Published in Computers & Security.","Neurokey: Towards a new paradigm of cancelable biometrics-based key generation using electroencephalograms","https://api.semanticscholar.org/CorpusID:36245022"
"1778943936-9","https://archive.ics.uci.edu/dataset/121/eeg+database","","EEG Based Eye State Classification using Deep Belief Network and Stacked AutoEncoder","By Sanam Narejo, Eros Pasero, Farzana Kulsoom. 2016","Published in International Journal of Electrical and Computer Engineering (IJECE).","EEG Based Eye State Classification using Deep Belief Network and Stacked AutoEncoder","https://api.semanticscholar.org/CorpusID:30448219"
"1778943936-10","https://archive.ics.uci.edu/dataset/121/eeg+database","","Task sensitivity in EEG biometric recognition","By Su Yang, Farzin Deravi, Sanaul Hoque. 2016","Published in Pattern Analysis and Applications.","Task sensitivity in EEG biometric recognition","https://api.semanticscholar.org/CorpusID:22061361"
"1778943936-11","https://archive.ics.uci.edu/dataset/121/eeg+database","","Particle swarm optimization for time series motif discovery","By Joan Serra, Josep Arcos. 2015","Published in Knowledge-Based Systems 92: 127-137. Jan 2016.","Particle swarm optimization for time series motif discovery","https://api.semanticscholar.org/CorpusID:1025352"
"1778943936-12","https://archive.ics.uci.edu/dataset/121/eeg+database","","Multivariate Time Series Similarity Searching","By Jimin Wang, Yuelong Zhu, Shijin Li, Dingsheng Wan, Pengcheng Zhang. 2014","Published in TheScientificWorldJournal.","Multivariate Time Series Similarity Searching","https://api.semanticscholar.org/CorpusID:16105706"
"1778943936-13","https://archive.ics.uci.edu/dataset/121/eeg+database","","Analysis of alcoholic EEG signals based on horizontal visibility graph entropy","By Guohun Zhu, Yan Li, Peng Wen, Shuaifang Wang. 2014","Published in Brain informatics.","Analysis of alcoholic EEG signals based on horizontal visibility graph entropy","https://api.semanticscholar.org/CorpusID:8402190"
"1778943936-14","https://archive.ics.uci.edu/dataset/121/eeg+database","","Interval feature extraction for classification of event-related potentials (ERP) in EEG data analysis","By Ludmila Kuncheva, Juan Rodríguez. 2012","Published in Progress in Artificial Intelligence.","Interval feature extraction for classification of event-related potentials (ERP) in EEG data analysis","https://api.semanticscholar.org/CorpusID:15261923"
"1778943936-15","https://archive.ics.uci.edu/dataset/121/eeg+database","","Gemini: Graph estimation with matrix variate normal instances","By Shuheng Zhou. 2012","Published in Annals of Statistics 2014, Vol. 42, No. 2, 532-562.","Gemini: Graph estimation with matrix variate normal instances","https://api.semanticscholar.org/CorpusID:18172467"
"1778943936-16","https://archive.ics.uci.edu/dataset/121/eeg+database","","Efficient Sparse Group Feature Selection via Nonconvex Optimization","By Shuo Xiang, Xiaotong Shen, Jieping Ye. 2012","Published in ArXiv.","Efficient Sparse Group Feature Selection via Nonconvex Optimization","https://api.semanticscholar.org/CorpusID:1447792"
