web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778941964-1","https://archive.ics.uci.edu/dataset/46/hepatitis","","Analyzing performance of classifiers for medical datasets","By Rosaida Rosly, Mokhairi Makhtar, Mohd Awang, Mohd Awang, Mohd Rahman. 2018","Published in International Journal of Engineering & Technology.","Analyzing performance of classifiers for medical datasets","https://api.semanticscholar.org/CorpusID:55575064"
"1778941964-2","https://archive.ics.uci.edu/dataset/46/hepatitis","","Multi-class and feature selection extensions of Roughly Balanced Bagging for imbalanced data","By Mateusz Lango, Jerzy Stefanowski. 2017","Published in Journal of Intelligent Information Systems.","Multi-class and feature selection extensions of Roughly Balanced Bagging for imbalanced data","https://api.semanticscholar.org/CorpusID:42868060"
"1778941964-3","https://archive.ics.uci.edu/dataset/46/hepatitis","","RatingScaleReduction package: stepwise rating scale item reduction without predictability loss","By Waldemar Koczkodaj, Alicja Wolny-Dominiak. 2017","Published in The R Journal.","RatingScaleReduction package: stepwise rating scale item reduction without predictability loss","https://api.semanticscholar.org/CorpusID:55240095"
"1778941964-4","https://archive.ics.uci.edu/dataset/46/hepatitis","","Reliable Confidence Predictions Using Conformal Prediction","By Henrik Linusson, Ulf Johansson, Henrik Boström, Tuve Löfström. 2016","Published in PAKDD.","Reliable Confidence Predictions Using Conformal Prediction","https://api.semanticscholar.org/CorpusID:32747095"
"1778941964-5","https://archive.ics.uci.edu/dataset/46/hepatitis","","Imbalanced Learning Based on Logistic Discrimination","By Huaping Guo, Weimei Zhi, Hongbing Liu, Mingliang Xu. 2016","Published in Computational intelligence and neuroscience.","Imbalanced Learning Based on Logistic Discrimination","https://api.semanticscholar.org/CorpusID:12597321"
"1778941964-6","https://archive.ics.uci.edu/dataset/46/hepatitis","","Filter Based Feature Selection Methods for Prediction of Risks in Hepatitis Disease","By Pinar Yildirim. 2015","Published in International Journal of Machine Learning and Computing.","Filter Based Feature Selection Methods for Prediction of Risks in Hepatitis Disease","https://api.semanticscholar.org/CorpusID:53002704"
"1778941964-7","https://archive.ics.uci.edu/dataset/46/hepatitis","","Boosting for class-imbalanced datasets using genetically evolved supervised non-linear projections","By Nicolás García-Pedrajas, César García-Osorio. 2012","Published in Progress in Artificial Intelligence.","Boosting for class-imbalanced datasets using genetically evolved supervised non-linear projections","https://api.semanticscholar.org/CorpusID:15633022"
"1778941964-8","https://archive.ics.uci.edu/dataset/46/hepatitis","","Heuristics for the selection of weights in sequential feed-forward neural networks: An experimental study","By Enrique Romero, René Alquézar. 2007","Published in Neurocomputing.","Heuristics for the selection of weights in sequential feed-forward neural networks: An experimental study","https://api.semanticscholar.org/CorpusID:17845258"
"1778941964-9","https://archive.ics.uci.edu/dataset/46/hepatitis","","Automatic Recurrent and Feed-Forward ANN Rule and Expression Extraction with Genetic Programming","By Julian Dorado, Juan Rabuñal, Antonino Santos, Alejandro Pazos, Daniel Rivero. 2002","Published in PROGRAMMING, PROC. 7 TH INTERNATIONAL CONFERENCE ON PARALLEL PROBLEM SOLVING FROM NATURE.","Automatic Recurrent and Feed-Forward ANN Rule and Expression Extraction with Genetic Programming","https://api.semanticscholar.org/CorpusID:17860314"
"1778941964-10","https://archive.ics.uci.edu/dataset/46/hepatitis","","Robust Classification with Context-Sensitive Features","By Peter Turney. 2002","Published in Proceedings of the Sixth International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems, Edinburgh, Scotland, (1993), 268-276.","Robust Classification with Context-Sensitive Features","https://api.semanticscholar.org/CorpusID:968824"
"1778941964-11","https://archive.ics.uci.edu/dataset/46/hepatitis","","Classification trees with unbiased multiway splits","By Hyunjoong Kim, Wei-Yin Loh. 2001","Published in Journal of the American Statistical Association.","Classification trees with unbiased multiway splits","https://api.semanticscholar.org/CorpusID:2530461"
"1778941964-12","https://archive.ics.uci.edu/dataset/46/hepatitis","","Ensembles of Similarity-Based Models","By Wlodzislaw Duch, Karol Grudzinski. 2001","Published in Inteligent Information Systems 2001, Advances in Soft Computing, Physica Verlag (Springer.","Ensembles of Similarity-Based Models","https://api.semanticscholar.org/CorpusID:15780164"
