web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778920186-1","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","DDSketch: A fast and fully-mergeable quantile sketch with relative-error guarantees","By Charles Masson, Jee Rim, Homin Lee. 2019","Published in PVLDB, 12(12): 2195-2205, 2019.","DDSketch: A fast and fully-mergeable quantile sketch with relative-error guarantees","https://api.semanticscholar.org/CorpusID:201650446"
"1778920186-2","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Deep Learning for Time Series Forecasting: The Electric Load Case","By Alberto Gasparin, Slobodan Lukovic, Cesare Alippi. 2019","Published in ArXiv.","Deep Learning for Time Series Forecasting: The Electric Load Case","https://api.semanticscholar.org/CorpusID:198147971"
"1778920186-3","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Unsupervised Scalable Representation Learning for Multivariate Time Series","By Jean-Yves Franceschi, Aymeric Dieuleveut, Martin Jaggi. 2019","Published in ArXiv.","Unsupervised Scalable Representation Learning for Multivariate Time Series","https://api.semanticscholar.org/CorpusID:59413908"
"1778920186-4","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Normalizing Flows: Introduction and Ideas","By Ivan Kobyzev, Simon Prince, Marcus Brubaker. 2019","Published in ArXiv.","Normalizing Flows: Introduction and Ideas","https://api.semanticscholar.org/CorpusID:201668500"
"1778920186-5","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Block Neural Autoregressive Flow","By Nicola Cao, Ivan Titov, Wilker Aziz. 2019","Published in ArXiv.","Block Neural Autoregressive Flow","https://api.semanticscholar.org/CorpusID:104292426"
"1778920186-6","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Deep Learning for Time Series Forecasting: The Electric Load Case","By Alberto Gasparin, Slobodan Lukovic, Cesare Alippi. 2019","Published in ArXiv.","Deep Learning for Time Series Forecasting: The Electric Load Case","https://api.semanticscholar.org/CorpusID:198147971"
"1778920186-7","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Large-Scale Learning from Data Streams with Apache SAMOA","By Nicolas Kourtellis, Gianmarco Morales, Albert Bifet. 2018","Published in ArXiv.","Large-Scale Learning from Data Streams with Apache SAMOA","https://api.semanticscholar.org/CorpusID:44077440"
"1778920186-8","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Adaptive Recurrent Neural Network via Persistent Memory","By Kui Zhao, Yuechuan Li, Chi Zhang, Cheng Yang, Huan Xu. 2018","Published in","Adaptive Recurrent Neural Network via Persistent Memory","https://api.semanticscholar.org/CorpusID:29149580"
"1778920186-9","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Unified recurrent neural network for many feature types","By Alexander Stec, Diego Klabjan, Jean Utke. 2018","Published in ArXiv.","Unified recurrent neural network for many feature types","https://api.semanticscholar.org/CorpusID:52814316"
"1778920186-10","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","ABACUS: Unsupervised Multivariate Change Detection via Bayesian Source Separation","By Wenyu Zhang, Daniel Gilbert, David Matteson. 2018","Published in Proceedings of the 2019 SIAM International Conference on Data Mining.","ABACUS: Unsupervised Multivariate Change Detection via Bayesian Source Separation","https://api.semanticscholar.org/CorpusID:56151035"
"1778920186-11","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Large-Scale Learning from Data Streams with Apache SAMOA","By Nicolas Kourtellis, Gianmarco Morales, Albert Bifet. 2018","Published in ArXiv.","Large-Scale Learning from Data Streams with Apache SAMOA","https://api.semanticscholar.org/CorpusID:44077440"
"1778920186-12","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","ABACUS: Unsupervised Multivariate Change Detection via Bayesian Source Separation","By Wenyu Zhang, Daniel Gilbert, David Matteson. 2018","Published in Proceedings of the 2019 SIAM International Conference on Data Mining.","ABACUS: Unsupervised Multivariate Change Detection via Bayesian Source Separation","https://api.semanticscholar.org/CorpusID:56151035"
"1778920186-13","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Distributed Bayesian Piecewise Sparse Linear Models","By Masato Asahara, Ryohei Fujimaki. 2017","Published in ArXiv.","Distributed Bayesian Piecewise Sparse Linear Models","https://api.semanticscholar.org/CorpusID:36692615"
"1778920186-14","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Hybrid Voltage Control in Distribution Networks Under Limited Communication Rates","By Hao Liu, Wei Shi, Hao Zhu. 2017","Published in IEEE Transactions on Smart Grid.","Hybrid Voltage Control in Distribution Networks Under Limited Communication Rates","https://api.semanticscholar.org/CorpusID:117348366"
"1778920186-15","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Machine Learning Approaches to Energy Consumption Forecasting in Households","By Riccardo Bonetto, Michele Rossi. 2017","Published in ArXiv.","Machine Learning Approaches to Energy Consumption Forecasting in Households","https://api.semanticscholar.org/CorpusID:27252967"
"1778920186-16","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","On Tensor Train Rank Minimization: Statistical Efficiency and Scalable Algorithm","By Masaaki Imaizumi, Takanori Maehara, Kohei Hayashi. 2017","Published in NIPS.","On Tensor Train Rank Minimization: Statistical Efficiency and Scalable Algorithm","https://api.semanticscholar.org/CorpusID:45880710"
"1778920186-17","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Autoregressive Convolutional Neural Networks for Asynchronous Time Series","By Mikolaj Bi'nkowski, Gautier Marti, Philippe Donnat. 2017","Published in ArXiv.","Autoregressive Convolutional Neural Networks for Asynchronous Time Series","https://api.semanticscholar.org/CorpusID:1520978"
"1778920186-18","https://archive.ics.uci.edu/dataset/235/individual+household+electric+power+consumption","","Building Energy Load Forecasting using Deep Neural Networks","By Daniel Marino, Kasun Amarasinghe, Milos Manic. 2016","Published in ArXiv.","Building Energy Load Forecasting using Deep Neural Networks","https://api.semanticscholar.org/CorpusID:3508314"
