web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778835422-1","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","Markov chain Monte Carlo algorithms with sequential proposals","By Joonha Park, Yves Atchad'e. 2019","Published in","Markov chain Monte Carlo algorithms with sequential proposals","https://api.semanticscholar.org/CorpusID:196623493"
"1778835422-2","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","SLA-based adaptation schemes in distributed stream processing engines","By Muhammad Hanif, Eunsam Kim, Sumi Helal, Choonhwa Lee. 2019","Published in Applied Sciences.","SLA-based adaptation schemes in distributed stream processing engines","https://api.semanticscholar.org/CorpusID:115145448"
"1778835422-3","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","Predicting credit default probabilities using machine learning techniques in the face of unequal class distributions","By Anna Stelzer. 2019","Published in ArXiv.","Predicting credit default probabilities using machine learning techniques in the face of unequal class distributions","https://api.semanticscholar.org/CorpusID:198986163"
"1778835422-4","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","Trust-Region Variational Inference with Gaussian Mixture Models","By Oleg Arenz, Mingjun Zhong, Gerhard Neumann. 2019","Published in ArXiv.","Trust-Region Variational Inference with Gaussian Mixture Models","https://api.semanticscholar.org/CorpusID:195874012"
"1778835422-5","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","Model Agnostic Contrastive Explanations for Structured Data","By Amit Dhurandhar, Tejaswini Pedapati, Avinash Balakrishnan, Pin-Yu Chen, Karthikeyan Shanmugam, Ruchir Puri. 2019","Published in ArXiv.","Model Agnostic Contrastive Explanations for Structured Data","https://api.semanticscholar.org/CorpusID:173990728"
"1778835422-6","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","SLA-based adaptation schemes in distributed stream processing engines","By Muhammad Hanif, Eunsam Kim, Sumi Helal, Choonhwa Lee. 2019","Published in Applied Sciences.","SLA-based adaptation schemes in distributed stream processing engines","https://api.semanticscholar.org/CorpusID:115145448"
"1778835422-7","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","Estimating Convergence of Markov chains with L-Lag Couplings","By Niloy Biswas, Pierre Jacob. 2019","Published in","Estimating Convergence of Markov chains with L-Lag Couplings","https://api.semanticscholar.org/CorpusID:165163527"
"1778835422-8","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","An Empirical Comparison of Machine-Learning Methods on Bank Client Credit Assessments","By Lkhagvadorj Munkhdalai, Tsendsuren Munkhdalai, Oyun-Erdene Namsrai, Jong Lee, Keun Ryu. 2019","Published in Sustainability.","An Empirical Comparison of Machine-Learning Methods on Bank Client Credit Assessments","https://api.semanticscholar.org/CorpusID:141061481"
"1778835422-9","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","Monte Carlo Approximation of Bayes Factors via Mixing with Surrogate Distributions","By Chenguang Dai, Jun Liu. 2019","Published in","Monte Carlo Approximation of Bayes Factors via Mixing with Surrogate Distributions","https://api.semanticscholar.org/CorpusID:202572974"
"1778835422-10","https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data","","Equalizing Recourse across Groups","By Vivek Gupta, Pegah Nokhiz, Chitradeep Roy, Suresh Venkatasubramanian. 2019","Published in ArXiv.","Equalizing Recourse across Groups","https://api.semanticscholar.org/CorpusID:202537227"
