web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778943190-1","https://archive.ics.uci.edu/dataset/145/statlog+heart","","An Associative Memory Approach to Healthcare Monitoring and Decision Making","By Mario Aldape-Pérez, Antonio Alarcón-Paredes, Cornelio Yáñez-Márquez, Itzamá López-Yáñez, Oscar Camacho-Nieto. 2018","Published in Sensors.","An Associative Memory Approach to Healthcare Monitoring and Decision Making","https://api.semanticscholar.org/CorpusID:52018384"
"1778943190-2","https://archive.ics.uci.edu/dataset/145/statlog+heart","","Probability Series Expansion Classifier that is Interpretable by Design","By Sapan Agarwal, Corey Hudson. 2017","Published in","Probability Series Expansion Classifier that is Interpretable by Design","https://api.semanticscholar.org/CorpusID:88522342"
"1778943190-3","https://archive.ics.uci.edu/dataset/145/statlog+heart","","XYZ Privacy","By Josh Joy, Dylan Gray, Ciaran McGoldrick, Mario Gerla. 2017","Published in ArXiv.","XYZ Privacy","https://api.semanticscholar.org/CorpusID:3461732"
"1778943190-4","https://archive.ics.uci.edu/dataset/145/statlog+heart","","Clustering Categorical Data Using Community Detection Techniques","By Huu Nguyen. 2017","Published in Computational intelligence and neuroscience.","Clustering Categorical Data Using Community Detection Techniques","https://api.semanticscholar.org/CorpusID:3288921"
"1778943190-5","https://archive.ics.uci.edu/dataset/145/statlog+heart","","HTM-MAT: An online prediction software toolbox based on cortical machine learning algorithm","By V. Anireh, EN Osegi. 2017","Published in ArXiv.","HTM-MAT: An online prediction software toolbox based on cortical machine learning algorithm","https://api.semanticscholar.org/CorpusID:36309415"
"1778943190-6","https://archive.ics.uci.edu/dataset/145/statlog+heart","","XYZ Privacy","By Josh Joy, Dylan Gray, Ciaran McGoldrick, Mario Gerla. 2017","Published in ArXiv.","XYZ Privacy","https://api.semanticscholar.org/CorpusID:3461732"
"1778943190-7","https://archive.ics.uci.edu/dataset/145/statlog+heart","","A New Smooth Approximation to the Zero One Loss with a Probabilistic Interpretation","By Md Hasan, Christopher Pal. 2015","Published in ArXiv.","A New Smooth Approximation to the Zero One Loss with a Probabilistic Interpretation","https://api.semanticscholar.org/CorpusID:15314902"
"1778943190-8","https://archive.ics.uci.edu/dataset/145/statlog+heart","","Iterated Support Vector Machines for Distance Metric Learning","By Wangmeng Zuo, Faqiang Wang, David Zhang, Liang Lin, Yuchi Huang, Deyu Meng, Lei Zhang. 2015","Published in ArXiv.","Iterated Support Vector Machines for Distance Metric Learning","https://api.semanticscholar.org/CorpusID:8024312"
"1778943190-9","https://archive.ics.uci.edu/dataset/145/statlog+heart","","A Kernel Classification Framework for Metric Learning","By Faqiang Wang, Wangmeng Zuo, Lei Zhang, Deyu Meng, David Zhang. 2013","Published in ArXiv.","A Kernel Classification Framework for Metric Learning","https://api.semanticscholar.org/CorpusID:13241530"
"1778943190-10","https://archive.ics.uci.edu/dataset/145/statlog+heart","","Modeling Multiple Annotator Expertise in the Semi-Supervised Learning Scenario","By Yan Yan, Romer Rosales, Glenn Fung, Jennifer Dy. 2012","Published in ArXiv.","Modeling Multiple Annotator Expertise in the Semi-Supervised Learning Scenario","https://api.semanticscholar.org/CorpusID:15139597"
"1778943190-11","https://archive.ics.uci.edu/dataset/145/statlog+heart","","Fetal distress prediction using discriminant analysis, decision tree, and artificial neural network","By Mei-Ling Huang, Yung-Yan Hsu. 2012","Published in Journal of Biomedical Science and Engineering.","Fetal distress prediction using discriminant analysis, decision tree, and artificial neural network","https://api.semanticscholar.org/CorpusID:42382385"
"1778943190-12","https://archive.ics.uci.edu/dataset/145/statlog+heart","","Missing-Values Adjustment for Mixed-Type Data","By Agostino Tarsitano, Marianna Falcone. 2011","Published in Journal of Probability and Statistics.","Missing-Values Adjustment for Mixed-Type Data","https://api.semanticscholar.org/CorpusID:46672653"
"1778943190-13","https://archive.ics.uci.edu/dataset/145/statlog+heart","","Improving Bayesian Learning Using Public Knowledge","By Farid Seifi, Chris Drummond, Nathalie Japkowicz, Stan Matwin. 2010","Published in Canadian Conference on AI.","Improving Bayesian Learning Using Public Knowledge","https://api.semanticscholar.org/CorpusID:15714157"
"1778943190-14","https://archive.ics.uci.edu/dataset/145/statlog+heart","","Learning High-Dimensional Markov Forest Distributions: Analysis of Error Rates","By Vincent Tan, Animashree Anandkumar, Alan Willsky. 2010","Published in ArXiv.","Learning High-Dimensional Markov Forest Distributions: Analysis of Error Rates","https://api.semanticscholar.org/CorpusID:5720593"
"1778943190-15","https://archive.ics.uci.edu/dataset/145/statlog+heart","","Class-specific error bounds for ensemble classifiers","By Ryan Prenger, Tracy Lemmond, Kush Varshney, Barry Chen, William Hanley. 2010","Published in KDD '10.","Class-specific error bounds for ensemble classifiers","https://api.semanticscholar.org/CorpusID:15762942"
"1778943190-16","https://archive.ics.uci.edu/dataset/145/statlog+heart","","A Comparative Analysis of Methods for Pruning Decision Trees","By Tapio Elomaa. 1999","Published in IDA.","A Comparative Analysis of Methods for Pruning Decision Trees","https://api.semanticscholar.org/CorpusID:2215258"
