web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778922329-1","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","Support vector machine with quantile hyper-spheres for pattern classification","By Maoxiang Chu, Xiaoping Liu, Rongfen Gong, Jie Zhao. 2019","Published in PloS one.","Support vector machine with quantile hyper-spheres for pattern classification","https://api.semanticscholar.org/CorpusID:67857470"
"1778922329-2","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","Extreme Value Theory for Open Set Classification -- GPD and GEV Classifiers","By Edoardo Vignotto, Sebastian Engelke. 2018","Published in ArXiv.","Extreme Value Theory for Open Set Classification -- GPD and GEV Classifiers","https://api.semanticscholar.org/CorpusID:52117892"
"1778922329-3","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","DOPING: Generative Data Augmentation for Unsupervised Anomaly Detection with GAN","By Swee Lim, Yi Loo, Ngoc-Trung Tran, Ngai-Man Cheung, Gemma Roig, Yuval Elovici. 2018","Published in ArXiv.","DOPING: Generative Data Augmentation for Unsupervised Anomaly Detection with GAN","https://api.semanticscholar.org/CorpusID:52075217"
"1778922329-4","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","Entity Attribute Value Style Modeling Approach for Archetype Based Data","By Shivani Batra, Shelly Sachdeva, Subhash Bhalla. 2018","Published in Information.","Entity Attribute Value Style Modeling Approach for Archetype Based Data","https://api.semanticscholar.org/CorpusID:3339336"
"1778922329-5","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","Credit Card Fraud Detection in e-Commerce: An Outlier Detection Approach","By Utkarsh Porwal, Smruthi Mukund. 2018","Published in ArXiv.","Credit Card Fraud Detection in e-Commerce: An Outlier Detection Approach","https://api.semanticscholar.org/CorpusID:53234680"
"1778922329-6","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","Using k-dependence causal forest to mine the most significant dependency relationships among clinical variables for thyroid disease diagnosis","By LiMin Wang, FangYuan Cao, ShuangCheng Wang, MingHui Sun, LiYan Dong. 2017","Published in PloS one.","Using k-dependence causal forest to mine the most significant dependency relationships among clinical variables for thyroid disease diagnosis","https://api.semanticscholar.org/CorpusID:22880723"
"1778922329-7","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","Deep Structured Energy Based Models for Anomaly Detection","By Shuangfei Zhai, Yu Cheng, Weining Lu, Zhongfei Zhang. 2016","Published in ArXiv.","Deep Structured Energy Based Models for Anomaly Detection","https://api.semanticscholar.org/CorpusID:173548"
"1778922329-8","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","Applying Data Mining Techniques in Healthcare","By Irina Ioniţă, Liviu Ioniţă. 2016","Published in Studies in Informatics and Control.","Applying Data Mining Techniques in Healthcare","https://api.semanticscholar.org/CorpusID:42959881"
"1778922329-9","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","A Parameter-free Affinity Based Clustering","By Bhaskar Mukhoty, Ruchir Gupta, Y. Singh. 2015","Published in ArXiv.","A Parameter-free Affinity Based Clustering","https://api.semanticscholar.org/CorpusID:14592675"
"1778922329-10","https://archive.ics.uci.edu/dataset/102/thyroid+disease","","Expert System Based On Neural-Fuzzy Rules for Thyroid Diseases Diagnosis","By Ahmad Azar, Aboul Hassanien. 2014","Published in ArXiv.","Expert System Based On Neural-Fuzzy Rules for Thyroid Diseases Diagnosis","https://api.semanticscholar.org/CorpusID:17402875"
