web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778943770-1","https://archive.ics.uci.edu/dataset/110/yeast","","On Possibility and Impossibility of Multiclass Classification with Rejection","By Chenri Ni, Nontawat Charoenphakdee, Junya Honda, Masashi Sugiyama. 2019","Published in ArXiv.","On Possibility and Impossibility of Multiclass Classification with Rejection","https://api.semanticscholar.org/CorpusID:59413876"
"1778943770-2","https://archive.ics.uci.edu/dataset/110/yeast","","Incremental kernel PCA and the Nystr""om method","By Fredrik Hallgren, Paul Northrop. 2018","Published in ArXiv.","Incremental kernel PCA and the Nystr""om method","https://api.semanticscholar.org/CorpusID:23532658"
"1778943770-3","https://archive.ics.uci.edu/dataset/110/yeast","","Degrees of Freedom and Model Selection for k-means Clustering","By David Hofmeyr. 2018","Published in ArXiv.","Degrees of Freedom and Model Selection for k-means Clustering","https://api.semanticscholar.org/CorpusID:46949748"
"1778943770-4","https://archive.ics.uci.edu/dataset/110/yeast","","Multi-Resolution Dual-Tree Wavelet Scattering Network for Signal Classification","By Amarjot Singh, Nick Kingsbury. 2017","Published in ArXiv.","Multi-Resolution Dual-Tree Wavelet Scattering Network for Signal Classification","https://api.semanticscholar.org/CorpusID:10475239"
"1778943770-5","https://archive.ics.uci.edu/dataset/110/yeast","","A Siamese Deep Forest","By Lev Utkin, Mikhail Ryabinin. 2017","Published in ArXiv.","A Siamese Deep Forest","https://api.semanticscholar.org/CorpusID:28687191"
"1778943770-6","https://archive.ics.uci.edu/dataset/110/yeast","","BAC: A Bagged Associative Classifier for Big Data Frameworks","By Luca Venturini, Paolo Garza, Daniele Apiletti. 2016","Published in ADBIS.","BAC: A Bagged Associative Classifier for Big Data Frameworks","https://api.semanticscholar.org/CorpusID:6797546"
"1778943770-7","https://archive.ics.uci.edu/dataset/110/yeast","","AGORAS: A Fast Algorithm for Estimating Medoids in Large Datasets","By Esteban Rangel, Wei-keng Liao, Ankit Agrawal, Alok Choudhary, William Hendrix. 2016","Published in ICCS.","AGORAS: A Fast Algorithm for Estimating Medoids in Large Datasets","https://api.semanticscholar.org/CorpusID:28613161"
"1778943770-8","https://archive.ics.uci.edu/dataset/110/yeast","","When is Undersampling Effective in Unbalanced Classification Tasks?","By Andrea Pozzolo, Olivier Caelen, Gianluca Bontempi. 2015","Published in ECML/PKDD.","When is Undersampling Effective in Unbalanced Classification Tasks?","https://api.semanticscholar.org/CorpusID:45718317"
"1778943770-9","https://archive.ics.uci.edu/dataset/110/yeast","","Interactive feature space extension for multidimensional data projection","By Daniel Pérez, Leishi Zhang, Matthias Schäfer, Tobias Schreck, Daniel Keim, Ignacio Blanco. 2015","Published in Neurocomputing.","Interactive feature space extension for multidimensional data projection","https://api.semanticscholar.org/CorpusID:18280415"
"1778943770-10","https://archive.ics.uci.edu/dataset/110/yeast","","Identifying Mixtures of Mixtures Using Bayesian Estimation","By Gertraud Malsiner-Walli, Sylvia Fruhwirth-Schnatter, Bettina Grun. 2015","Published in Journal of computational and graphical statistics : a joint publication of American Statistical Association, Institute of Mathematical Statistics, Interface Foundation of North America.","Identifying Mixtures of Mixtures Using Bayesian Estimation","https://api.semanticscholar.org/CorpusID:7765038"
"1778943770-11","https://archive.ics.uci.edu/dataset/110/yeast","","AdaCluster : Adaptive Clustering for Heterogeneous Data","By Mehmet Basbug, Barbara Engelhardt. 2015","Published in","AdaCluster : Adaptive Clustering for Heterogeneous Data","https://api.semanticscholar.org/CorpusID:15642077"
"1778943770-12","https://archive.ics.uci.edu/dataset/110/yeast","","A new structure entropy of complex networks based on Tsallis nonextensive statistical mechanics","By Qi Zhang, Xi Lu, Meizhu Li, Yong Deng, Sankaran Mahadevan. 2014","Published in ArXiv.","A new structure entropy of complex networks based on Tsallis nonextensive statistical mechanics","https://api.semanticscholar.org/CorpusID:13227118"
"1778943770-13","https://archive.ics.uci.edu/dataset/110/yeast","","Local structure entropy of complex networks","By Qi Zhang, Meizhu Li, Yuxian Du, Yong Deng. 2014","Published in ArXiv.","Local structure entropy of complex networks","https://api.semanticscholar.org/CorpusID:16378307"
"1778943770-14","https://archive.ics.uci.edu/dataset/110/yeast","","Outlying Property Detection with Numerical Attributes","By Fabrizio Angiulli, Fabio Fassetti, Luigi Palopoli, Giuseppe Manco. 2013","Published in ArXiv.","Outlying Property Detection with Numerical Attributes","https://api.semanticscholar.org/CorpusID:8937177"
"1778943770-15","https://archive.ics.uci.edu/dataset/110/yeast","","Borel Isomorphic Dimensionality Reduction of Data and Supervised Learning","By Stan Hatko. 2013","Published in","Borel Isomorphic Dimensionality Reduction of Data and Supervised Learning","https://api.semanticscholar.org/CorpusID:88513104"
