web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778923413-1","https://archive.ics.uci.edu/dataset/111/zoo","","Nearest Neighbor Median Shift Clustering for Binary Data","By Gael Beck, Tarn Duong, Mustapha Lebbah, Hanane Azzag. 2019","Published in ArXiv.","Nearest Neighbor Median Shift Clustering for Binary Data","https://api.semanticscholar.org/CorpusID:60441400"
"1778923413-2","https://archive.ics.uci.edu/dataset/111/zoo","","Introducing Hypergraph Signal Processing: Theoretical Foundation and Practical Applications","By Songyang Zhang, Zhi Ding, Shuguang Cui. 2019","Published in","Introducing Hypergraph Signal Processing: Theoretical Foundation and Practical Applications","https://api.semanticscholar.org/CorpusID:198147919"
"1778923413-3","https://archive.ics.uci.edu/dataset/111/zoo","","Experimentation With Fuzzy Interest Forwarding in Named Data Networking","By Spyridon Mastorakis, Kevin Chan, Bongjun Ko, Alexander Afanasyev, Lixia Zhang. 2018","Published in ArXiv.","Experimentation With Fuzzy Interest Forwarding in Named Data Networking","https://api.semanticscholar.org/CorpusID:3645570"
"1778923413-4","https://archive.ics.uci.edu/dataset/111/zoo","","Hierarchical Clustering for Euclidean Data","By Moses Charikar, Vaggos Chatziafratis, Rad Niazadeh, Grigory Yaroslavtsev. 2018","Published in ArXiv.","Hierarchical Clustering for Euclidean Data","https://api.semanticscholar.org/CorpusID:57189104"
"1778923413-5","https://archive.ics.uci.edu/dataset/111/zoo","","Decomposition of quantitative Gaifman graphs as a data analysis tool","By Jos'e Balc'azar, Marie Piceno, Laura Rodr'iguez-Navas. 2018","Published in ArXiv.","Decomposition of quantitative Gaifman graphs as a data analysis tool","https://api.semanticscholar.org/CorpusID:46888914"
"1778923413-6","https://archive.ics.uci.edu/dataset/111/zoo","","Soft Methodology for Cost-and-error Sensitive Classification","By Te-Kang Jan, Da-Wei Wang, Chi-Hung Lin, Hsuan-Tien Lin. 2017","Published in ArXiv.","Soft Methodology for Cost-and-error Sensitive Classification","https://api.semanticscholar.org/CorpusID:19635383"
"1778923413-7","https://archive.ics.uci.edu/dataset/111/zoo","","Using Machine Learning Methods Jointly to Find Better Set of Rules in Data Mining","By Hyontai Sug. 2017","Published in MATEC Web of Conferences.","Using Machine Learning Methods Jointly to Find Better Set of Rules in Data Mining","https://api.semanticscholar.org/CorpusID:67338698"
"1778923413-8","https://archive.ics.uci.edu/dataset/111/zoo","","A Nonlinear Orthogonal Non-Negative Matrix Factorization Approach to Subspace Clustering","By Dijana Tolic, Nino Antulov-Fantulin, Ivica Kopriva. 2017","Published in ArXiv.","A Nonlinear Orthogonal Non-Negative Matrix Factorization Approach to Subspace Clustering","https://api.semanticscholar.org/CorpusID:24213464"
"1778923413-9","https://archive.ics.uci.edu/dataset/111/zoo","","Enhancing White-Box Machine Learning Processes by Incorporating Semantic Background Knowledge","By Gilles Vandewiele. 2017","Published in ESWC.","Enhancing White-Box Machine Learning Processes by Incorporating Semantic Background Knowledge","https://api.semanticscholar.org/CorpusID:38204679"
"1778923413-10","https://archive.ics.uci.edu/dataset/111/zoo","","A-Ward_p{eta}: Effective hierarchical clustering using the Minkowski metric and a fast k -means initialisation","By Renato Amorim, Vladimir Makarenkov, Boris Mirkin. 2016","Published in Information Sciences, 370, 343-354 (2016).","A-Ward_p{eta}: Effective hierarchical clustering using the Minkowski metric and a fast k -means initialisation","https://api.semanticscholar.org/CorpusID:535677"
