web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778919864-1","https://archive.ics.uci.edu/dataset/1/abalone","","Custodes: Auditable Hypothesis Testing","By Sacha Servan-Schreiber, Olga Ohrimenko, Tim Kraska, Emanuel Zgraggen. 2019","Published in ArXiv.","Custodes: Auditable Hypothesis Testing","https://api.semanticscholar.org/CorpusID:59413806"
"1778919864-2","https://archive.ics.uci.edu/dataset/1/abalone","","Hybrid Forest: A Concept Drift Aware Data Stream Mining Algorithm","By Radin Rad, Maryam Haeri. 2019","Published in ArXiv.","Hybrid Forest: A Concept Drift Aware Data Stream Mining Algorithm","https://api.semanticscholar.org/CorpusID:60440495"
"1778919864-3","https://archive.ics.uci.edu/dataset/1/abalone","","Rank correlated subgroup discovery","By Mohamed Hammal, Hélène Mathian, Luc Merchez, Marc Plantevit, Céline Robardet. 2019","Published in Journal of Intelligent Information Systems.","Rank correlated subgroup discovery","https://api.semanticscholar.org/CorpusID:102352005"
"1778919864-4","https://archive.ics.uci.edu/dataset/1/abalone","","Taking advantage of hybrid bioinspired intelligent algorithm with decoupled extended Kalman filter for optimizing growing and pruning radial basis function network","By Zhilei Chai, Wei Song, Qinxin Bao, Feng Ding, Fei Liu. 2018","Published in Royal Society open science.","Taking advantage of hybrid bioinspired intelligent algorithm with decoupled extended Kalman filter for optimizing growing and pruning radial basis function network","https://api.semanticscholar.org/CorpusID:53013909"
"1778919864-5","https://archive.ics.uci.edu/dataset/1/abalone","","Communication Optimality Trade-offs For Distributed Estimation","By Anit Sahu, Dusan Jakovetic, Soummya Kar. 2018","Published in","Communication Optimality Trade-offs For Distributed Estimation","https://api.semanticscholar.org/CorpusID:88522543"
"1778919864-6","https://archive.ics.uci.edu/dataset/1/abalone","","Taking advantage of hybrid bioinspired intelligent algorithm with decoupled extended Kalman filter for optimizing growing and pruning radial basis function network","By Zhilei Chai, Wei Song, Qinxin Bao, Feng Ding, Fei Liu. 2018","Published in Royal Society open science.","Taking advantage of hybrid bioinspired intelligent algorithm with decoupled extended Kalman filter for optimizing growing and pruning radial basis function network","https://api.semanticscholar.org/CorpusID:53013909"
"1778919864-7","https://archive.ics.uci.edu/dataset/1/abalone","","Communication Optimality Trade-offs For Distributed Estimation","By Anit Sahu, Dusan Jakovetic, Soummya Kar. 2018","Published in","Communication Optimality Trade-offs For Distributed Estimation","https://api.semanticscholar.org/CorpusID:88522543"
"1778919864-8","https://archive.ics.uci.edu/dataset/1/abalone","","Prediction based on conditional distributions of vine copulas","By Bo Chang, Harry Joe. 2018","Published in Computational Statistics & Data Analysis.","Prediction based on conditional distributions of vine copulas","https://api.semanticscholar.org/CorpusID:88522915"
"1778919864-9","https://archive.ics.uci.edu/dataset/1/abalone","","Exact Passive-Aggressive Algorithms for Learning to Rank Using Interval Labels","By Naresh Manwani, Mohit Chandra. 2018","Published in ArXiv.","Exact Passive-Aggressive Algorithms for Learning to Rank Using Interval Labels","https://api.semanticscholar.org/CorpusID:52047047"
"1778919864-10","https://archive.ics.uci.edu/dataset/1/abalone","","Sequential Randomized Matrix Factorization for Gaussian Processes: Efficient Predictions and Hyper-parameter Optimization","By Shaunak Bopardikar, George Ekladious. 2017","Published in ArXiv.","Sequential Randomized Matrix Factorization for Gaussian Processes: Efficient Predictions and Hyper-parameter Optimization","https://api.semanticscholar.org/CorpusID:7993103"
"1778919864-11","https://archive.ics.uci.edu/dataset/1/abalone","","Sequential Randomized Matrix Factorization for Gaussian Processes: Efficient Predictions and Hyper-parameter Optimization","By Shaunak Bopardikar, George Ekladious. 2017","Published in ArXiv.","Sequential Randomized Matrix Factorization for Gaussian Processes: Efficient Predictions and Hyper-parameter Optimization","https://api.semanticscholar.org/CorpusID:7993103"
"1778919864-12","https://archive.ics.uci.edu/dataset/1/abalone","","Aggregation of Classifiers: A Justifiable Information Granularity Approach","By Tien Nguyen, Xuan Pham, Alan Liew, Witold Pedrycz. 2017","Published in ArXiv.","Aggregation of Classifiers: A Justifiable Information Granularity Approach","https://api.semanticscholar.org/CorpusID:3077738"
