web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778920496-1","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Splitting on categorical predictors in random forests","By Marvin Wright, Inke König. 2019","Published in PeerJ.","Splitting on categorical predictors in random forests","https://api.semanticscholar.org/CorpusID:59943856"
"1778920496-2","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Ensemble Neural Networks (ENN): A gradient-free stochastic method","By Yuntian Chen, Haibin Chang, Meng Jin, Dongxiao Zhang. 2019","Published in Neural Networks, 110, 170-185 (2019).","Ensemble Neural Networks (ENN): A gradient-free stochastic method","https://api.semanticscholar.org/CorpusID:199441918"
"1778920496-3","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Visual Backpropagation","By Roy Freedman. 2019","Published in ArXiv.","Visual Backpropagation","https://api.semanticscholar.org/CorpusID:182952462"
"1778920496-4","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Multiobjective Programming for Type-2 Hierarchical Fuzzy Inference Trees","By Varun Ojha, Vaclav Snasel, Ajith Abraham. 2017","Published in IEEE Transactions on Fuzzy Systems 2017.","Multiobjective Programming for Type-2 Hierarchical Fuzzy Inference Trees","https://api.semanticscholar.org/CorpusID:4563887"
"1778920496-5","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Specification testing for regressions: an approach bridging between local smoothing and global smoothing methods","By Lingzhu Li, Lixing Zhu. 2017","Published in","Specification testing for regressions: an approach bridging between local smoothing and global smoothing methods","https://api.semanticscholar.org/CorpusID:88515762"
"1778920496-6","https://archive.ics.uci.edu/dataset/9/auto+mpg","","CBR Meets Big Data: A Case Study of Large-Scale Adaptation Rule Generation","By Vahid Jalali, David Leake. 2015","Published in ICCBR.","CBR Meets Big Data: A Case Study of Large-Scale Adaptation Rule Generation","https://api.semanticscholar.org/CorpusID:4529443"
"1778920496-7","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Automated Predictive Big Data Analytics Using Ontology Based Semantics.","By Mustafa Nural, Michael Cotterell, Hao Peng, Rui Xie, Ping Ma, John Miller. 2015","Published in International journal of big data.","Automated Predictive Big Data Analytics Using Ontology Based Semantics.","https://api.semanticscholar.org/CorpusID:4883665"
"1778920496-8","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Confidence Intervals for Random Forests: The Jackknife and the Infinitesimal Jackknife","By Stefan Wager, Trevor Hastie, Bradley Efron. 2013","Published in Journal of machine learning research : JMLR.","Confidence Intervals for Random Forests: The Jackknife and the Infinitesimal Jackknife","https://api.semanticscholar.org/CorpusID:2185396"
"1778920496-9","https://archive.ics.uci.edu/dataset/9/auto+mpg","","An empirical comparison of cascade and flat variants of incremental node creation algorithm","By Sudhir Sharma, Pravin Chandra. 2013","Published in CSI Transactions on ICT.","An empirical comparison of cascade and flat variants of incremental node creation algorithm","https://api.semanticscholar.org/CorpusID:18788322"
"1778920496-10","https://archive.ics.uci.edu/dataset/9/auto+mpg","","On Deriving Adaptation Rule Confidence from the Rule Generation Process","By Vahid Jalali, David Leake. 2013","Published in ICCBR.","On Deriving Adaptation Rule Confidence from the Rule Generation Process","https://api.semanticscholar.org/CorpusID:18450473"
"1778920496-11","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Active Learning with Monotonicity Constraints","By Nicola Barile, A. Feelders. 2012","Published in SDM.","Active Learning with Monotonicity Constraints","https://api.semanticscholar.org/CorpusID:3259384"
"1778920496-12","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Efficient regularized isotonic regression with application to gene--gene interaction search","By Ronny Luss, Saharon Rosset, Moni Shahar. 2011","Published in Annals of Applied Statistics 2012, Vol. 6, No. 1, 253-283.","Efficient regularized isotonic regression with application to gene--gene interaction search","https://api.semanticscholar.org/CorpusID:14583623"
"1778920496-13","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Distribution Rules with Numeric Attributes of Interest","By Alípio Jorge, Paulo Azevedo, Fernando Pereira. 2006","Published in PKDD.","Distribution Rules with Numeric Attributes of Interest","https://api.semanticscholar.org/CorpusID:16469104"
"1778920496-14","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Efficient hyperkernel learning using second-order cone programming","By I. Wai-Hung Tsang, J. Tin-Yau Kwok. 2006","Published in IEEE Transactions on Neural Networks.","Efficient hyperkernel learning using second-order cone programming","https://api.semanticscholar.org/CorpusID:8357813"
"1778920496-15","https://archive.ics.uci.edu/dataset/9/auto+mpg","","Visual interactive subgroup discovery with numerical properties of interest ?","By Alípio Jorge, Fernando Pereira, Paulo Azevedo. 2006","Published in Discovery Science.","Visual interactive subgroup discovery with numerical properties of interest ?","https://api.semanticscholar.org/CorpusID:2638667"
