web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778921557-1","https://archive.ics.uci.edu/dataset/14/breast+cancer","","Online Data Poisoning Attack","By Xuezhou Zhang, Xiaojin Zhu, Laurent Lessard. 2019","Published in ArXiv.","Online Data Poisoning Attack","https://api.semanticscholar.org/CorpusID:67877139"
"1778921557-2","https://archive.ics.uci.edu/dataset/14/breast+cancer","","QUOTIENT: Two-Party Secure Neural Network Training and Prediction","By Nitin Agrawal, Ali Shamsabadi, Matt Kusner, Adria Gasc'on. 2019","Published in ArXiv.","QUOTIENT: Two-Party Secure Neural Network Training and Prediction","https://api.semanticscholar.org/CorpusID:195833171"
"1778921557-3","https://archive.ics.uci.edu/dataset/14/breast+cancer","","Optimized Realization of Bayesian Networks in Reduced Normal Form using Latent Variable Model","By Giovanni Gennaro, Amedeo Buonanno, Francesco Palmieri. 2019","Published in ArXiv.","Optimized Realization of Bayesian Networks in Reduced Normal Form using Latent Variable Model","https://api.semanticscholar.org/CorpusID:58028861"
"1778921557-4","https://archive.ics.uci.edu/dataset/14/breast+cancer","","Target-Focused Feature Selection Using a Bayesian Approach","By Orpaz Goldstein, Mohammad Kachuee, Kimmo Karkkainen, Majid Sarrafzadeh. 2019","Published in","Target-Focused Feature Selection Using a Bayesian Approach","https://api.semanticscholar.org/CorpusID:202577567"
"1778921557-5","https://archive.ics.uci.edu/dataset/14/breast+cancer","","A Novel Hyperparameter-free Approach to Decision Tree Construction that Avoids Overfitting by Design","By Rafael Leiva, Antonio Anta, Vincenzo Mancuso, Paolo Casari. 2019","Published in ArXiv.","A Novel Hyperparameter-free Approach to Decision Tree Construction that Avoids Overfitting by Design","https://api.semanticscholar.org/CorpusID:174798019"
"1778921557-6","https://archive.ics.uci.edu/dataset/14/breast+cancer","","QUOTIENT: Two-Party Secure Neural Network Training and Prediction","By Nitin Agrawal, Ali Shamsabadi, Matt Kusner, Adria Gasc'on. 2019","Published in ArXiv.","QUOTIENT: Two-Party Secure Neural Network Training and Prediction","https://api.semanticscholar.org/CorpusID:195833171"
"1778921557-7","https://archive.ics.uci.edu/dataset/14/breast+cancer","","Optimized Realization of Bayesian Networks in Reduced Normal Form using Latent Variable Model","By Giovanni Gennaro, Amedeo Buonanno, Francesco Palmieri. 2019","Published in ArXiv.","Optimized Realization of Bayesian Networks in Reduced Normal Form using Latent Variable Model","https://api.semanticscholar.org/CorpusID:58028861"
"1778921557-8","https://archive.ics.uci.edu/dataset/14/breast+cancer","","Online Data Poisoning Attack","By Xuezhou Zhang, Xiaojin Zhu, Laurent Lessard. 2019","Published in ArXiv.","Online Data Poisoning Attack","https://api.semanticscholar.org/CorpusID:67877139"
"1778921557-9","https://archive.ics.uci.edu/dataset/14/breast+cancer","","A Novel Hyperparameter-free Approach to Decision Tree Construction that Avoids Overfitting by Design","By Rafael Leiva, Antonio Anta, Vincenzo Mancuso, Paolo Casari. 2019","Published in ArXiv.","A Novel Hyperparameter-free Approach to Decision Tree Construction that Avoids Overfitting by Design","https://api.semanticscholar.org/CorpusID:174798019"
"1778921557-10","https://archive.ics.uci.edu/dataset/14/breast+cancer","","Boosting Classifiers with Noisy Inference","By Yongjune Kim, Yuval Cassuto, Lav Varshney. 2019","Published in ArXiv.","Boosting Classifiers with Noisy Inference","https://api.semanticscholar.org/CorpusID:202558772"
