web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778830472-1","https://archive.ics.uci.edu/dataset/19/car+evaluation","","GluonTS: Probabilistic Time Series Models in Python","By Alexander Alexandrov, Konstantinos Benidis, Michael Bohlke-Schneider, Valentin Flunkert, Jan Gasthaus, Tim Januschowski, Danielle Maddix, Syama Rangapuram, David Salinas, Jasper Schulz, Lorenzo Stella, Ali Turkmen, Yuyang Wang. 2019","Published in ArXiv.","GluonTS: Probabilistic Time Series Models in Python","https://api.semanticscholar.org/CorpusID:186206975"
"1778830472-2","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Optimal Sparse Decision Trees","By Xiyang Hu, Cynthia Rudin, Margo Seltzer. 2019","Published in ArXiv.","Optimal Sparse Decision Trees","https://api.semanticscholar.org/CorpusID:139104649"
"1778830472-3","https://archive.ics.uci.edu/dataset/19/car+evaluation","","A New Urban Objects Detection Framework Using Weakly Annotated Sets","By Eric Keiji, Gabriel Ferreira, Claudio Silva, Roberto Cesar. 2017","Published in ArXiv.","A New Urban Objects Detection Framework Using Weakly Annotated Sets","https://api.semanticscholar.org/CorpusID:23104467"
"1778830472-4","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Learning and Applying Case Adaptation Rules for Classification: An Ensemble Approach","By Vahid Jalali, David Leake, Najmeh Forouzandehmehr. 2017","Published in IJCAI.","Learning and Applying Case Adaptation Rules for Classification: An Ensemble Approach","https://api.semanticscholar.org/CorpusID:39250916"
"1778830472-5","https://archive.ics.uci.edu/dataset/19/car+evaluation","","A Comparative Study of Categorical Variable Encoding Techniques for Neural Network Classifiers","By Kedar Potdar, Taher Pardawala, Chinmay Pai. 2017","Published in International Journal of Computer Applications.","A Comparative Study of Categorical Variable Encoding Techniques for Neural Network Classifiers","https://api.semanticscholar.org/CorpusID:67714691"
"1778830472-6","https://archive.ics.uci.edu/dataset/19/car+evaluation","","MNL-Bandit: A Dynamic Learning Approach to Assortment Selection","By Shipra Agrawal, Vashist Avadhanula, Vineet Goyal, Assaf Zeevi. 2017","Published in ArXiv.","MNL-Bandit: A Dynamic Learning Approach to Assortment Selection","https://api.semanticscholar.org/CorpusID:10811088"
"1778830472-7","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Theoretical Properties and Practical Performance of Fully Robust One-Sided Cross-Validation","By Olga Savchuk, Jeffrey Hart. 2016","Published in","Theoretical Properties and Practical Performance of Fully Robust One-Sided Cross-Validation","https://api.semanticscholar.org/CorpusID:88515195"
"1778830472-8","https://archive.ics.uci.edu/dataset/19/car+evaluation","","MR - Random Forest Algorithm for Distributed Action Rules Discovery","By Angelina Tzacheva, Arunkumar Bagavathi, Punniya Ganesan. 2016","Published in International Journal of Data Mining & Knowledge Management Process.","MR - Random Forest Algorithm for Distributed Action Rules Discovery","https://api.semanticscholar.org/CorpusID:64478135"
"1778830472-9","https://archive.ics.uci.edu/dataset/19/car+evaluation","","A Mathematical Formalization of Hierarchical Temporal Memory's Spatial Pooler","By James Mnatzaganian, Ernest Fokou'e, Dhireesha Kudithipudi. 2016","Published in Front. Robot. AI.","A Mathematical Formalization of Hierarchical Temporal Memory's Spatial Pooler","https://api.semanticscholar.org/CorpusID:16243722"
"1778830472-10","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Learning Bayesian Networks without Assuming Missing at Random","By Tameem Adel, Cassio Campos. 2016","Published in ArXiv.","Learning Bayesian Networks without Assuming Missing at Random","https://api.semanticscholar.org/CorpusID:18722941"
"1778830472-11","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Matrix Method for Computing Approximations in Variable Consistency Dominance-Based Rough Set Approach","By Lei Wang, Ziqi Wang, Jun Ye. 2016","Published in Revista Tecnica De La Facultad De Ingenieria Universidad Del Zulia.","Matrix Method for Computing Approximations in Variable Consistency Dominance-Based Rough Set Approach","https://api.semanticscholar.org/CorpusID:38224195"
"1778830472-12","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Learning Bayesian Networks with Incomplete Data by Augmentation","By Tameem Adel, Cassio Campos. 2016","Published in AAAI.","Learning Bayesian Networks with Incomplete Data by Augmentation","https://api.semanticscholar.org/CorpusID:210244"
"1778830472-13","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Tensor Train polynomial models via Riemannian optimization","By Alexander Novikov, Mikhail Trofimov, Ivan Oseledets. 2016","Published in ArXiv.","Tensor Train polynomial models via Riemannian optimization","https://api.semanticscholar.org/CorpusID:16957923"
"1778830472-14","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Exponential Machines","By Alexander Novikov, Mikhail Trofimov, Ivan Oseledets. 2016","Published in ICLR.","Exponential Machines","https://api.semanticscholar.org/CorpusID:16676712"
"1778830472-15","https://archive.ics.uci.edu/dataset/19/car+evaluation","","BayesWipe: A Scalable Probabilistic Framework for Cleaning BigData","By Sushovan De, Yuheng Hu, Meduri Vamsikrishna, Yi Chen, Subbarao Kambhampati. 2015","Published in ArXiv.","BayesWipe: A Scalable Probabilistic Framework for Cleaning BigData","https://api.semanticscholar.org/CorpusID:1124027"
"1778830472-16","https://archive.ics.uci.edu/dataset/19/car+evaluation","","BayesWipe: A Scalable Probabilistic Framework for Cleaning BigData","By Sushovan De, Yuheng Hu, Meduri Vamsikrishna, Yi Chen, Subbarao Kambhampati. 2015","Published in ArXiv.","BayesWipe: A Scalable Probabilistic Framework for Cleaning BigData","https://api.semanticscholar.org/CorpusID:1124027"
"1778830472-17","https://archive.ics.uci.edu/dataset/19/car+evaluation","","A Logic-based Approach to Generatively Defined Discriminative Modeling","By Taisuke Sato, Keiichi Kubota, Yoshitaka Kameya. 2014","Published in ArXiv.","A Logic-based Approach to Generatively Defined Discriminative Modeling","https://api.semanticscholar.org/CorpusID:16797042"
"1778830472-18","https://archive.ics.uci.edu/dataset/19/car+evaluation","","A Reduction of the Elastic Net to Support Vector Machines with an Application to GPU Computing","By Quan Zhou, Wenlin Chen, Shiji Song, Jacob Gardner, Kilian Weinberger, Yixin Chen. 2014","Published in ArXiv.","A Reduction of the Elastic Net to Support Vector Machines with an Application to GPU Computing","https://api.semanticscholar.org/CorpusID:10812583"
"1778830472-19","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Interval-valued fuzzy decision trees with optimal neighbourhood perimeter","By Youdthachai Lertworaprachaya, Yingjie Yang, Robert John. 2014","Published in Appl. Soft Comput..","Interval-valued fuzzy decision trees with optimal neighbourhood perimeter","https://api.semanticscholar.org/CorpusID:6759295"
"1778830472-20","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Estimating a sharp convergence bound for randomized ensembles","By Miles Lopes. 2013","Published in Journal of Statistical Planning and Inference.","Estimating a sharp convergence bound for randomized ensembles","https://api.semanticscholar.org/CorpusID:140253391"
"1778830472-21","https://archive.ics.uci.edu/dataset/19/car+evaluation","","A Sharp Bound on the Computation-Accuracy Tradeoff for Majority Voting Ensembles","By Miles Lopes. 2013","Published in","A Sharp Bound on the Computation-Accuracy Tradeoff for Majority Voting Ensembles","https://api.semanticscholar.org/CorpusID:11847427"
"1778830472-22","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Data Mining Agent Conversations: A Qualitative Approach to Multiagent Systems Analysis","By Emilio Serrano, Michael Rovatsos, Juan Blaya. 2013","Published in Inf. Sci..","Data Mining Agent Conversations: A Qualitative Approach to Multiagent Systems Analysis","https://api.semanticscholar.org/CorpusID:14613828"
"1778830472-23","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Cost-conscious comparison of supervised learning algorithms over multiple data sets","By Aydin Ulas, Olcay Yildiz, Ethem Alpaydin. 2012","Published in Pattern Recognition.","Cost-conscious comparison of supervised learning algorithms over multiple data sets","https://api.semanticscholar.org/CorpusID:2845872"
"1778830472-24","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Eigenclassifiers for combining correlated classifiers","By Aydin Ulas, Olcay Yildiz, Ethem Alpaydin. 2012","Published in INFORMATION SCIENCES.","Eigenclassifiers for combining correlated classifiers","https://api.semanticscholar.org/CorpusID:8112190"
"1778830472-25","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Learning the areas of expertise of classifiers in an ensemble","By Esma Kilic, Ethem Alpaydin. 2011","Published in WCIT.","Learning the areas of expertise of classifiers in an ensemble","https://api.semanticscholar.org/CorpusID:15126564"
"1778830472-26","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Challenges to Bayesian decision support using morphological matrices for design: empirical evidence","By Peter Matthews. 2011","Published in Research in Engineering Design.","Challenges to Bayesian decision support using morphological matrices for design: empirical evidence","https://api.semanticscholar.org/CorpusID:18922768"
"1778830472-27","https://archive.ics.uci.edu/dataset/19/car+evaluation","","Comparing K-value Estimation for Categorical and Numeric Data Clustering K.Arunprabha","By K. Arunprabha, V. Bhuvaneswari. 2010","Published in International Journal of Computer Applications.","Comparing K-value Estimation for Categorical and Numeric Data Clustering K.Arunprabha","https://api.semanticscholar.org/CorpusID:859929"
