web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778923066-1","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","Operationalizing Individual Fairness with Pairwise Fair Representations","By Preethi Lahoti, Krishna Gummadi, Gerhard Weikum. 2019","Published in ArXiv.","Operationalizing Individual Fairness with Pairwise Fair Representations","https://api.semanticscholar.org/CorpusID:195776464"
"1778923066-2","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","Pairwise Fairness for Ranking and Regression","By Harikrishna Narasimhan, Andrew Cotter, Maya Gupta, Serena Wang. 2019","Published in ArXiv.","Pairwise Fairness for Ranking and Regression","https://api.semanticscholar.org/CorpusID:189762275"
"1778923066-3","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","Optimizing Generalized Rate Metrics through Game Equilibrium","By Harikrishna Narasimhan, Andrew Cotter, Maya Gupta. 2019","Published in ArXiv.","Optimizing Generalized Rate Metrics through Game Equilibrium","https://api.semanticscholar.org/CorpusID:202234747"
"1778923066-4","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","Distributed Differentially Private Computation of Functions with Correlated Noise","By Hafiz Imtiaz, Jafar Mohammadi, Anand Sarwate. 2019","Published in ArXiv.","Distributed Differentially Private Computation of Functions with Correlated Noise","https://api.semanticscholar.org/CorpusID:128358426"
"1778923066-5","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","Fairness Warnings and Fair-MAML: Learning Fairly with Minimal Data","By Dylan Slack, Sorelle Friedler, Emile Givental. 2019","Published in ArXiv.","Fairness Warnings and Fair-MAML: Learning Fairly with Minimal Data","https://api.semanticscholar.org/CorpusID:201670688"
"1778923066-6","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","A Moral Framework for Understanding of Fair ML through Economic Models of Equality of Opportunity","By Hoda Heidari, Michele Loi, Krishna Gummadi, Andreas Krause. 2018","Published in ArXiv.","A Moral Framework for Understanding of Fair ML through Economic Models of Equality of Opportunity","https://api.semanticscholar.org/CorpusID:52183889"
"1778923066-7","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","Metric-Optimized Example Weights","By Sen Zhao, Mahdi Fard, Harikrishna Narasimhan, Maya Gupta. 2018","Published in ArXiv.","Metric-Optimized Example Weights","https://api.semanticscholar.org/CorpusID:44071858"
"1778923066-8","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","Fairness Behind a Veil of Ignorance: A Welfare Analysis for Automated Decision Making","By Hoda Heidari, Claudio Ferrari, Krishna Gummadi, Andreas Krause. 2018","Published in ArXiv.","Fairness Behind a Veil of Ignorance: A Welfare Analysis for Automated Decision Making","https://api.semanticscholar.org/CorpusID:49187042"
"1778923066-9","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","Predictive Modelling of Crime Dataset Using Data Mining","By Prajakta Yerpude, Vaishnavi Gudur. 2017","Published in International Journal of Data Mining & Knowledge Management Process.","Predictive Modelling of Crime Dataset Using Data Mining","https://api.semanticscholar.org/CorpusID:51798524"
"1778923066-10","https://archive.ics.uci.edu/dataset/183/communities+and+crime","","Exploring Items and Features with IF, FI-Tables","By Paul Corput, Jarke Wijk. 2016","Published in Comput. Graph. Forum.","Exploring Items and Features with IF, FI-Tables","https://api.semanticscholar.org/CorpusID:33154692"
