web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778921718-1","https://archive.ics.uci.edu/dataset/27/credit+approval","","Adversarial Vulnerability Bounds for Gaussian Process Classification","By Michael Smith, Kathrin Grosse, Michael Backes, Mauricio Alvarez. 2019","Published in","Adversarial Vulnerability Bounds for Gaussian Process Classification","https://api.semanticscholar.org/CorpusID:202677173"
"1778921718-2","https://archive.ics.uci.edu/dataset/27/credit+approval","","A CORRECTION ON TANGENTBOOST ALGORITHM","By Toka Onur,  Çetin. 2018","Published in Communications Faculty Of Science University of Ankara Series A1Mathematics and Statistics.","A CORRECTION ON TANGENTBOOST ALGORITHM","https://api.semanticscholar.org/CorpusID:55087457"
"1778921718-3","https://archive.ics.uci.edu/dataset/27/credit+approval","","High-dimensional data in economics and their (robust) analysis","By Jan Kalina. 2017","Published in Serbian Journal of Management.","High-dimensional data in economics and their (robust) analysis","https://api.semanticscholar.org/CorpusID:56819717"
"1778921718-4","https://archive.ics.uci.edu/dataset/27/credit+approval","","Efficient least angle regression for identification of linear-in-the-parameters models","By Wanqing Zhao, Thomas Beach, Yacine Rezgui. 2017","Published in Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences.","Efficient least angle regression for identification of linear-in-the-parameters models","https://api.semanticscholar.org/CorpusID:41853261"
"1778921718-5","https://archive.ics.uci.edu/dataset/27/credit+approval","","Quasi-Reliable Estimates of Effective Sample Size","By Youhan Fang, Yudong Cao, Robert Skeel. 2017","Published in","Quasi-Reliable Estimates of Effective Sample Size","https://api.semanticscholar.org/CorpusID:88515076"
"1778921718-6","https://archive.ics.uci.edu/dataset/27/credit+approval","","Majority Rule Approach of Deep Learning for Time Series Data","By Ayahiko Niimi, Masato Ikeda. 2016","Published in International Journal for Information Security Research.","Majority Rule Approach of Deep Learning for Time Series Data","https://api.semanticscholar.org/CorpusID:70340887"
"1778921718-7","https://archive.ics.uci.edu/dataset/27/credit+approval","","Learning Probabilistic Programs","By Yura Perov, Frank Wood. 2014","Published in ArXiv.","Learning Probabilistic Programs","https://api.semanticscholar.org/CorpusID:5013938"
"1778921718-8","https://archive.ics.uci.edu/dataset/27/credit+approval","","A Hybrid Monte Carlo Architecture for Parameter Optimization","By James Brofos. 2014","Published in ArXiv.","A Hybrid Monte Carlo Architecture for Parameter Optimization","https://api.semanticscholar.org/CorpusID:9852923"
"1778921718-9","https://archive.ics.uci.edu/dataset/27/credit+approval","","Clustering Algorithms for Categorical Data: A Monte Carlo Study","By Sueli Mingoti, Renata Matos. 2012","Published in International Journal of Statistics and Applications.","Clustering Algorithms for Categorical Data: A Monte Carlo Study","https://api.semanticscholar.org/CorpusID:18229740"
"1778921718-10","https://archive.ics.uci.edu/dataset/27/credit+approval","","Classification and categorical inputs with treed Gaussian process models","By Tamara Broderick, Robert Gramacy. 2009","Published in J. Classification.","Classification and categorical inputs with treed Gaussian process models","https://api.semanticscholar.org/CorpusID:5403714"
"1778921718-11","https://archive.ics.uci.edu/dataset/27/credit+approval","","Classification and Dimension Reduction in Bank Credit Scoring System","By Bohan Liu, Bo Yuan, Wenhuang Liu. 2008","Published in ISNN.","Classification and Dimension Reduction in Bank Credit Scoring System","https://api.semanticscholar.org/CorpusID:6736244"
