web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778944254-1","https://archive.ics.uci.edu/dataset/33/dermatology","","Bidirectional Inference Networks: A Class of Deep Bayesian Networks for Health Profiling","By Hao Wang, Chengzhi Mao, Hao He, Mingmin Zhao, Tommi Jaakkola, Dina Katabi. 2019","Published in ArXiv.","Bidirectional Inference Networks: A Class of Deep Bayesian Networks for Health Profiling","https://api.semanticscholar.org/CorpusID:59606262"
"1778944254-2","https://archive.ics.uci.edu/dataset/33/dermatology","","A Hybrid Deep Learning Approach for Diagnosis of the Erythemato-Squamous Disease","By Sayan Putatunda. 2019","Published in","A Hybrid Deep Learning Approach for Diagnosis of the Erythemato-Squamous Disease","https://api.semanticscholar.org/CorpusID:202583540"
"1778944254-3","https://archive.ics.uci.edu/dataset/33/dermatology","","Optimization on the Complementation Procedure Towards Efficient Implementation of the Index Generation Function","By Grzegorz Borowik. 2018","Published in Applied Mathematics and Computer Science.","Optimization on the Complementation Procedure Towards Efficient Implementation of the Index Generation Function","https://api.semanticscholar.org/CorpusID:67791239"
"1778944254-4","https://archive.ics.uci.edu/dataset/33/dermatology","","K-groups: A Generalization of K-means Clustering","By Songzi Li, Maria Rizzo. 2017","Published in","K-groups: A Generalization of K-means Clustering","https://api.semanticscholar.org/CorpusID:88523532"
"1778944254-5","https://archive.ics.uci.edu/dataset/33/dermatology","","Kernel k-Groups via Hartigan's Method","By Guilherme Francca, Maria Rizzo, Joshua Vogelstein. 2017","Published in","Kernel k-Groups via Hartigan's Method","https://api.semanticscholar.org/CorpusID:52003897"
"1778944254-6","https://archive.ics.uci.edu/dataset/33/dermatology","","Fuzzy based binary feature profiling for modus operandi analysis","By Mahawaga Chamikara, Akalanka Galappaththi, Roshan Yapa, Ruwan Nawarathna, Saluka Kodituwakku, Jagath Gunatilake, Aththanapola Jayathilake, Liwan Liyanage. 2016","Published in PeerJ Computer Science.","Fuzzy based binary feature profiling for modus operandi analysis","https://api.semanticscholar.org/CorpusID:2443455"
"1778944254-7","https://archive.ics.uci.edu/dataset/33/dermatology","","Differential Diagnosis of Erythmato-Squamous Diseases Using Classification and Regression Tree","By Keivan Maghooli, Mostafa Langarizadeh, Leila Shahmoradi, Mahdi Habibi-koolaee, Mohamad Jebraeily, Hamid Bouraghi. 2016","Published in Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH.","Differential Diagnosis of Erythmato-Squamous Diseases Using Classification and Regression Tree","https://api.semanticscholar.org/CorpusID:18722421"
"1778944254-8","https://archive.ics.uci.edu/dataset/33/dermatology","","Meta-learning for evolutionary parameter optimization of classifiers","By Matthias Reif, Faisal Shafait, Andreas Dengel. 2012","Published in Machine Learning.","Meta-learning for evolutionary parameter optimization of classifiers","https://api.semanticscholar.org/CorpusID:3248302"
"1778944254-9","https://archive.ics.uci.edu/dataset/33/dermatology","","Biomedical Images Classification by Universal Nearest Neighbours Classifier Using Posterior Probability","By Roberto D'Ambrosio, Wafa Ali, Richard Nock, Paolo Soda, Frank Nielsen, Michel Barlaud. 2012","Published in MLMI.","Biomedical Images Classification by Universal Nearest Neighbours Classifier Using Posterior Probability","https://api.semanticscholar.org/CorpusID:10798209"
"1778944254-10","https://archive.ics.uci.edu/dataset/33/dermatology","","Proximity-Graph Instance-Based Learning, Support Vector Machines, and High Dimensionality: An Empirical Comparison","By Godfried Toussaint, Constantin Berzan. 2012","Published in MLDM.","Proximity-Graph Instance-Based Learning, Support Vector Machines, and High Dimensionality: An Empirical Comparison","https://api.semanticscholar.org/CorpusID:12753616"
"1778944254-11","https://archive.ics.uci.edu/dataset/33/dermatology","","Ternary Bradley-Terry model-based decoding for multi-class classification and its extensions","By Takashi Takenouchi, Shin Ishii. 2011","Published in Machine Learning.","Ternary Bradley-Terry model-based decoding for multi-class classification and its extensions","https://api.semanticscholar.org/CorpusID:14339058"
"1778944254-12","https://archive.ics.uci.edu/dataset/33/dermatology","","Multi-Subspace Representation and Discovery","By Dijun Luo, Feiping Nie, Chris Ding, Heng Huang. 2011","Published in ECML/PKDD.","Multi-Subspace Representation and Discovery","https://api.semanticscholar.org/CorpusID:35681672"
"1778944254-13","https://archive.ics.uci.edu/dataset/33/dermatology","","On Detecting Clustered Anomalies Using SCiForest","By Fei Liu, Kai Ting, Zhi-Hua Zhou. 2010","Published in ECML/PKDD.","On Detecting Clustered Anomalies Using SCiForest","https://api.semanticscholar.org/CorpusID:5721991"
