web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778827789-1","https://archive.ics.uci.edu/dataset/45/heart+disease","","A Submodularity-based Agglomerative Clustering Algorithm for the Privacy Funnel","By Ni Ding, Parastoo Sadeghi. 2019","Published in ArXiv.","A Submodularity-based Agglomerative Clustering Algorithm for the Privacy Funnel","https://api.semanticscholar.org/CorpusID:58981682"
"1778827789-2","https://archive.ics.uci.edu/dataset/45/heart+disease","","Leveraging Simple Model Predictions for Enhancing its Performance","By Amit Dhurandhar, Karthikeyan Shanmugam, Ronny Luss. 2019","Published in ArXiv.","Leveraging Simple Model Predictions for Enhancing its Performance","https://api.semanticscholar.org/CorpusID:173188874"
"1778827789-3","https://archive.ics.uci.edu/dataset/45/heart+disease","","PPCD: Privacy-preserving clinical decision with cloud support","By Hui Ma, Xuyang Guo, Yuan Ping, Baocang Wang, Yuehua Yang, Zhili Zhang, Jingxian Zhou. 2019","Published in PloS one.","PPCD: Privacy-preserving clinical decision with cloud support","https://api.semanticscholar.org/CorpusID:169039214"
"1778827789-4","https://archive.ics.uci.edu/dataset/45/heart+disease","","ActShare: Sensitive Data Sharing with Reliable Leaker Identification","By Zhiyi Zhang, Yu Guan, Xinyu Ma, Lixia Zhang. 2019","Published in ArXiv.","ActShare: Sensitive Data Sharing with Reliable Leaker Identification","https://api.semanticscholar.org/CorpusID:198968007"
"1778827789-5","https://archive.ics.uci.edu/dataset/45/heart+disease","","A review of domain adaptation without target labels","By Wouter Kouw, Marco Loog. 2019","Published in","A review of domain adaptation without target labels","https://api.semanticscholar.org/CorpusID:198898096"
"1778827789-6","https://archive.ics.uci.edu/dataset/45/heart+disease","","Predicting coronary artery disease: a comparison between two data mining algorithms","By Haleh Ayatollahi, Leila Gholamhosseini, Masoud Salehi. 2019","Published in BMC public health.","Predicting coronary artery disease: a comparison between two data mining algorithms","https://api.semanticscholar.org/CorpusID:140291726"
"1778827789-7","https://archive.ics.uci.edu/dataset/45/heart+disease","","Hybrid Decision Making: When Interpretable Models Collaborate With Black-Box Models","By Tong Wang. 2018","Published in ArXiv.","Hybrid Decision Making: When Interpretable Models Collaborate With Black-Box Models","https://api.semanticscholar.org/CorpusID:3602835"
"1778827789-8","https://archive.ics.uci.edu/dataset/45/heart+disease","","Hybrid Decision Making: When Interpretable Models Collaborate With Black-Box Models","By Tong Wang. 2018","Published in International Conference on Machine Learning, 2019.","Hybrid Decision Making: When Interpretable Models Collaborate With Black-Box Models","https://api.semanticscholar.org/CorpusID:150374157"
"1778827789-9","https://archive.ics.uci.edu/dataset/45/heart+disease","","Heart Disease Diagnosis System Using Fuzzy Logic","By Hasan Kahtan, Kamal Zamli, Wan Fatthi, Azma Abdullah, Mansoor Abdulleteef, Noor Kamarulzaman. 2018","Published in ICSCA 2018.","Heart Disease Diagnosis System Using Fuzzy Logic","https://api.semanticscholar.org/CorpusID:29166110"
"1778827789-10","https://archive.ics.uci.edu/dataset/45/heart+disease","","Design Methodology of Microservices to Support Predictive Analytics for IoT Applications","By Sajjad Ali, Muhammad Jarwar, Ilyoung Chong. 2018","Published in Sensors.","Design Methodology of Microservices to Support Predictive Analytics for IoT Applications","https://api.semanticscholar.org/CorpusID:54561005"
"1778827789-11","https://archive.ics.uci.edu/dataset/45/heart+disease","","Hybrid Decision Making: When Interpretable Models Collaborate With Black-Box Models","By Tong Wang. 2018","Published in ArXiv.","Hybrid Decision Making: When Interpretable Models Collaborate With Black-Box Models","https://api.semanticscholar.org/CorpusID:3602835"
"1778827789-12","https://archive.ics.uci.edu/dataset/45/heart+disease","","Analysis of Langevin Monte Carlo via convex optimization","By Alain Durmus, Szymon Majewski, Bla.zej Miasojedow. 2018","Published in J. Mach. Learn. Res..","Analysis of Langevin Monte Carlo via convex optimization","https://api.semanticscholar.org/CorpusID:88515870"
"1778827789-13","https://archive.ics.uci.edu/dataset/45/heart+disease","","Bayesian Patchworks: An Approach to Case-Based Reasoning","By Ramin Moghaddass, Cynthia Rudin. 2018","Published in ArXiv.","Bayesian Patchworks: An Approach to Case-Based Reasoning","https://api.semanticscholar.org/CorpusID:52190882"
"1778827789-14","https://archive.ics.uci.edu/dataset/45/heart+disease","","Mobile Health-monitoring System with Inference, Fall Detection, and Cardiovascular Prediction","By Yin-Fu Huang. 2018","Published in INTERNATIONAL JOURNAL OF COMPUTERS & TECHNOLOGY.","Mobile Health-monitoring System with Inference, Fall Detection, and Cardiovascular Prediction","https://api.semanticscholar.org/CorpusID:70169149"
"1778827789-15","https://archive.ics.uci.edu/dataset/45/heart+disease","","Target Contrastive Pessimistic Discriminant Analysis","By Wouter Kouw, Marco Loog. 2018","Published in ArXiv.","Target Contrastive Pessimistic Discriminant Analysis","https://api.semanticscholar.org/CorpusID:49421141"
"1778827789-16","https://archive.ics.uci.edu/dataset/45/heart+disease","","A Collective Learning Approach for Semi-Supervised Data Classification","By Nur Satı. 2018","Published in Pamukkale University Journal of Engineering Sciences.","A Collective Learning Approach for Semi-Supervised Data Classification","https://api.semanticscholar.org/CorpusID:116460246"
"1778827789-17","https://archive.ics.uci.edu/dataset/45/heart+disease","","Heart Disease Detection by Using Machine Learning Algorithms and a Real-Time Cardiovascular Health Monitoring System","By Shadman Nashif, Md. Raihan, Md. Islam, Mohammad Imam. 2018","Published in World Journal of Engineering and Technology.","Heart Disease Detection by Using Machine Learning Algorithms and a Real-Time Cardiovascular Health Monitoring System","https://api.semanticscholar.org/CorpusID:69438529"
"1778827789-18","https://archive.ics.uci.edu/dataset/45/heart+disease","","A Hybrid Classification System for Heart Disease Diagnosis Based on the RFRS Method","By Xiao Liu, Xiaoli Wang, Qiang Su, Mo Zhang, Yanhong Zhu, Qiugen Wang, Qian Wang. 2017","Published in Computational and mathematical methods in medicine.","A Hybrid Classification System for Heart Disease Diagnosis Based on the RFRS Method","https://api.semanticscholar.org/CorpusID:14342000"
"1778827789-19","https://archive.ics.uci.edu/dataset/45/heart+disease","","Tree-Structured Boosting: Connections Between Gradient Boosted Stumps and Full Decision Trees","By Jos'e Luna, Eric Eaton, Lyle Ungar, Eric Diffenderfer, Shane Jensen, Efstathios Gennatas, Mateo Wirth, Charles Simone, Timothy Solberg, Gilmer Valdes. 2017","Published in ArXiv.","Tree-Structured Boosting: Connections Between Gradient Boosted Stumps and Full Decision Trees","https://api.semanticscholar.org/CorpusID:22247976"
"1778827789-20","https://archive.ics.uci.edu/dataset/45/heart+disease","","Accelerating Kernel Classifiers Through Borders Mapping","By Peter Mills. 2017","Published in Journal of Real-Time Image Processing 2018.","Accelerating Kernel Classifiers Through Borders Mapping","https://api.semanticscholar.org/CorpusID:4615880"
"1778827789-21","https://archive.ics.uci.edu/dataset/45/heart+disease","","Stability metrics for multi-source biomedical data based on simplicial projections from probability distribution distances.","By Carlos Sáez, Montserrat Robles, Juan García-Gómez. 2017","Published in Statistical methods in medical research.","Stability metrics for multi-source biomedical data based on simplicial projections from probability distribution distances.","https://api.semanticscholar.org/CorpusID:34522149"
