web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778946480-1","https://archive.ics.uci.edu/dataset/50/image+segmentation","","Differential privacy for learning vector quantization","By Johannes Brinkrolf, Christina Göpfert, Barbara Hammer. 2019","Published in Neurocomputing.","Differential privacy for learning vector quantization","https://api.semanticscholar.org/CorpusID:85556183"
"1778946480-2","https://archive.ics.uci.edu/dataset/50/image+segmentation","","Interactive Image Segmentation using Label Propagation through Complex Networks","By Fabricio Breve. 2019","Published in ArXiv.","Interactive Image Segmentation using Label Propagation through Complex Networks","https://api.semanticscholar.org/CorpusID:57759383"
"1778946480-3","https://archive.ics.uci.edu/dataset/50/image+segmentation","","Multi-task learning for intelligent data processing in granular computing context","By Han Liu, Mihaela Cocea, Weili Ding. 2018","Published in Granular Computing.","Multi-task learning for intelligent data processing in granular computing context","https://api.semanticscholar.org/CorpusID:42447526"
"1778946480-4","https://archive.ics.uci.edu/dataset/50/image+segmentation","","Human-Guided Data Exploration","By Andreas Henelius, Emilia Oikarinen, Kai Puolamaki. 2018","Published in ArXiv.","Human-Guided Data Exploration","https://api.semanticscholar.org/CorpusID:4749540"
"1778946480-5","https://archive.ics.uci.edu/dataset/50/image+segmentation","","Interactive Visual Data Exploration with Subjective Feedback: An Information-Theoretic Approach","By Kai Puolamaki, Emilia Oikarinen, Bo Kang, Jefrey Lijffijt, Tijl Bie. 2017","Published in ArXiv.","Interactive Visual Data Exploration with Subjective Feedback: An Information-Theoretic Approach","https://api.semanticscholar.org/CorpusID:29629746"
"1778946480-6","https://archive.ics.uci.edu/dataset/50/image+segmentation","","Security of neuromorphic computing: thwarting learning attacks using memristor's obsolescence effect","By Chaofei Yang, Beiye Liu, Hai Li, Yiran Chen, Wujie Wen, Mark Barnell, Qing Wu, Jeyavijayan Rajendran. 2016","Published in ICCAD '16.","Security of neuromorphic computing: thwarting learning attacks using memristor's obsolescence effect","https://api.semanticscholar.org/CorpusID:17126180"
"1778946480-7","https://archive.ics.uci.edu/dataset/50/image+segmentation","","Generalizing diffuse interface methods on graphs: non-smooth potentials and hypergraphs","By Jessica Bosch, Steffen Klamt, Martin Stoll. 2016","Published in SIAM Journal of Applied Mathematics.","Generalizing diffuse interface methods on graphs: non-smooth potentials and hypergraphs","https://api.semanticscholar.org/CorpusID:51878884"
"1778946480-8","https://archive.ics.uci.edu/dataset/50/image+segmentation","","Semi-supervised feature selection for audio classification based on constraint compensated Laplacian score","By Xu-Kui Yang, Liang He, Dan Qu, Wei-Qiang Zhang, Michael Johnson. 2016","Published in EURASIP J. Audio, Speech and Music Processing.","Semi-supervised feature selection for audio classification based on constraint compensated Laplacian score","https://api.semanticscholar.org/CorpusID:24142312"
"1778946480-9","https://archive.ics.uci.edu/dataset/50/image+segmentation","","A review of learning vector quantization classifiers","By David Nova, Pablo Estevez. 2015","Published in Neural Computing&Applications, vol. 25, pp. 511-524, 2014.","A review of learning vector quantization classifiers","https://api.semanticscholar.org/CorpusID:11101499"
"1778946480-10","https://archive.ics.uci.edu/dataset/50/image+segmentation","","Automated Kernel Independent Component Analysis Based Two Variable Weighted Multi-view Clustering for Complete and Incomplete Dataset","By M. Radhakrishnan. 2015","Published in Research Journal of Applied Sciences, Engineering and Technology.","Automated Kernel Independent Component Analysis Based Two Variable Weighted Multi-view Clustering for Complete and Incomplete Dataset","https://api.semanticscholar.org/CorpusID:16076103"
"1778946480-11","https://archive.ics.uci.edu/dataset/50/image+segmentation","","A review of learning vector quantization classifiers","By David Nova, Pablo Estevez. 2015","Published in Neural Computing&Applications, vol. 25, pp. 511-524, 2014.","A review of learning vector quantization classifiers","https://api.semanticscholar.org/CorpusID:11101499"
