web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778942237-1","https://archive.ics.uci.edu/dataset/52/ionosphere","","Support Feature Machines","By Tomasz Maszczyk, Wlodzislaw Duch. 2019","Published in World Congress on Computational Intelligence, IEEE Press, pp. 3852-3859, 2010.","Support Feature Machines","https://api.semanticscholar.org/CorpusID:59316613"
"1778942237-2","https://archive.ics.uci.edu/dataset/52/ionosphere","","Differentially Private Precision Matrix Estimation","By Wenqing Su, Xiao Guo, Hai Zhang. 2019","Published in ArXiv.","Differentially Private Precision Matrix Estimation","https://api.semanticscholar.org/CorpusID:202539956"
"1778942237-3","https://archive.ics.uci.edu/dataset/52/ionosphere","","Enumeration of Distinct Support Vectors for Interactive Decision Making","By Kentaro Kanamori, Satoshi Hara, Masakazu Ishihata, Hiroki Arimura. 2019","Published in ArXiv.","Enumeration of Distinct Support Vectors for Interactive Decision Making","https://api.semanticscholar.org/CorpusID:174799321"
"1778942237-4","https://archive.ics.uci.edu/dataset/52/ionosphere","","Meta-learning: searching in the model space","By Wlodzislaw Duch, Karol Grudzi'nsk. 2018","Published in Proceedings of the International Conference on Neural Information Processing, Shanghai, 2001, Vol. I, pp. 235-240.","Meta-learning: searching in the model space","https://api.semanticscholar.org/CorpusID:15141408"
"1778942237-5","https://archive.ics.uci.edu/dataset/52/ionosphere","","Extreme Learning Machine with Local Connections","By Feng Li, Sibo Yang, Huanhuan Huang, Wei Wu. 2018","Published in ArXiv.","Extreme Learning Machine with Local Connections","https://api.semanticscholar.org/CorpusID:10488671"
"1778942237-6","https://archive.ics.uci.edu/dataset/52/ionosphere","","A Recurrent Graph Neural Network for Multi-Relational Data","By Vassilis Ioannidis, Antonio Marques, Georgios Giannakis. 2018","Published in ArXiv.","A Recurrent Graph Neural Network for Multi-Relational Data","https://api.semanticscholar.org/CorpusID:53245362"
"1778942237-7","https://archive.ics.uci.edu/dataset/52/ionosphere","","Another look at distance-weighted discrimination","By Boxiang Wang, Hui Zou. 2018","Published in Journal of the Royal Statistical Society: Series B (Statistical Methodology).","Another look at distance-weighted discrimination","https://api.semanticscholar.org/CorpusID:67795096"
"1778942237-8","https://archive.ics.uci.edu/dataset/52/ionosphere","","Calibrating Black Box Classification Models through the Thresholding Method","By Arun Srinivasan. 2017","Published in","Calibrating Black Box Classification Models through the Thresholding Method","https://api.semanticscholar.org/CorpusID:88524130"
"1778942237-9","https://archive.ics.uci.edu/dataset/52/ionosphere","","Optimization for L1-Norm Error Fitting via Data Aggregation","By Young Park. 2017","Published in","Optimization for L1-Norm Error Fitting via Data Aggregation","https://api.semanticscholar.org/CorpusID:88514361"
"1778942237-10","https://archive.ics.uci.edu/dataset/52/ionosphere","","A Geometric Variational Approach to Bayesian Inference","By Abhijoy Saha, Karthik Bharath, Sebastian Kurtek. 2017","Published in Journal of the American Statistical Association.","A Geometric Variational Approach to Bayesian Inference","https://api.semanticscholar.org/CorpusID:85543169"
