web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778828342-1","https://archive.ics.uci.edu/dataset/53/iris","","A Constructive Approach for One-Shot Training of Neural Networks Using Hypercube-Based Topological Coverings","By W. Daniel, Enoch Yeung. 2019","Published in ArXiv.","A Constructive Approach for One-Shot Training of Neural Networks Using Hypercube-Based Topological Coverings","https://api.semanticscholar.org/CorpusID:57759386"
"1778828342-2","https://archive.ics.uci.edu/dataset/53/iris","","Convergence and Margin of Adversarial Training on Separable Data","By Zachary Charles, Shashank Rajput, Stephen Wright, Dimitris Papailiopoulos. 2019","Published in ArXiv.","Convergence and Margin of Adversarial Training on Separable Data","https://api.semanticscholar.org/CorpusID:162168439"
"1778828342-3","https://archive.ics.uci.edu/dataset/53/iris","","CRAD: Clustering with Robust Autocuts and Depth","By Xin Huang, Yulia Gel. 2019","Published in 2017 IEEE International Conference on Data Mining (ICDM), 925--930} (2017).","CRAD: Clustering with Robust Autocuts and Depth","https://api.semanticscholar.org/CorpusID:9280690"
"1778828342-4","https://archive.ics.uci.edu/dataset/53/iris","","Deep Spiking Neural Network with Spike Count based Learning Rule","By Jibin Wu, Yansong Chua, Malu Zhang, Qu Yang, Guoqi Li, Haizhou Li. 2019","Published in ArXiv.","Deep Spiking Neural Network with Spike Count based Learning Rule","https://api.semanticscholar.org/CorpusID:62923743"
"1778828342-5","https://archive.ics.uci.edu/dataset/53/iris","","Bounded Fuzzy Possibilistic Method","By Hossein Yazdani. 2019","Published in ArXiv.","Bounded Fuzzy Possibilistic Method","https://api.semanticscholar.org/CorpusID:59843090"
"1778828342-6","https://archive.ics.uci.edu/dataset/53/iris","","Convergence and Margin of Adversarial Training on Separable Data","By Zachary Charles, Shashank Rajput, Stephen Wright, Dimitris Papailiopoulos. 2019","Published in ArXiv.","Convergence and Margin of Adversarial Training on Separable Data","https://api.semanticscholar.org/CorpusID:162168439"
"1778828342-7","https://archive.ics.uci.edu/dataset/53/iris","","CRAD: Clustering with Robust Autocuts and Depth","By Xin Huang, Yulia Gel. 2019","Published in 2017 IEEE International Conference on Data Mining (ICDM), 925--930} (2017).","CRAD: Clustering with Robust Autocuts and Depth","https://api.semanticscholar.org/CorpusID:9280690"
"1778828342-8","https://archive.ics.uci.edu/dataset/53/iris","","A Constructive Approach for One-Shot Training of Neural Networks Using Hypercube-Based Topological Coverings","By W. Daniel, Enoch Yeung. 2019","Published in ArXiv.","A Constructive Approach for One-Shot Training of Neural Networks Using Hypercube-Based Topological Coverings","https://api.semanticscholar.org/CorpusID:57759386"
"1778828342-9","https://archive.ics.uci.edu/dataset/53/iris","","Bounded Fuzzy Possibilistic Method","By Hossein Yazdani. 2019","Published in ArXiv.","Bounded Fuzzy Possibilistic Method","https://api.semanticscholar.org/CorpusID:59843090"
"1778828342-10","https://archive.ics.uci.edu/dataset/53/iris","","Spurious Vanishing Problem in Approximate Vanishing Ideal","By Hiroshi Kera, Yoshihiko Hasegawa. 2019","Published in ArXiv.","Spurious Vanishing Problem in Approximate Vanishing Ideal","https://api.semanticscholar.org/CorpusID:59291965"
