web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778941379-1","https://archive.ics.uci.edu/dataset/59/letter+recognition","","CURE: Curvature Regularization For Missing Data Recovery","By Bin Dong, Haocheng Ju, Yiping Lu, Zuoqiang Shi. 2019","Published in ArXiv.","CURE: Curvature Regularization For Missing Data Recovery","https://api.semanticscholar.org/CorpusID:59316871"
"1778941379-2","https://archive.ics.uci.edu/dataset/59/letter+recognition","","Self-Paced Probabilistic Principal Component Analysis for Data with Outliers","By Bowen Zhao, Xi Xiao, Wanpeng Zhang, Bin Zhang, Shutao Xia. 2019","Published in ArXiv.","Self-Paced Probabilistic Principal Component Analysis for Data with Outliers","https://api.semanticscholar.org/CorpusID:119308945"
"1778941379-3","https://archive.ics.uci.edu/dataset/59/letter+recognition","","A Neural Network Based On-device Learning Anomaly Detector for Edge Devices","By Mineto Tsukada, Masaaki Kondo, Hiroki Matsutani. 2019","Published in ArXiv.","A Neural Network Based On-device Learning Anomaly Detector for Edge Devices","https://api.semanticscholar.org/CorpusID:198229699"
"1778941379-4","https://archive.ics.uci.edu/dataset/59/letter+recognition","","A Study of Clustering Techniques and Hierarchical Matrix Formats for Kernel Ridge Regression","By Elizaveta Rebrova, Gustavo Chavez, Yang Liu, Pieter Ghysels, Xiaoye Li. 2018","Published in IPDPS workshops 2018.","A Study of Clustering Techniques and Hierarchical Matrix Formats for Kernel Ridge Regression","https://api.semanticscholar.org/CorpusID:4391434"
"1778941379-5","https://archive.ics.uci.edu/dataset/59/letter+recognition","","A Variance Maximization Criterion for Active Learning","By Yazhou Yang, Marco Loog. 2017","Published in Pattern Recognition 78C (2018) pp. 358-370.","A Variance Maximization Criterion for Active Learning","https://api.semanticscholar.org/CorpusID:4006702"
"1778941379-6","https://archive.ics.uci.edu/dataset/59/letter+recognition","","Visualizing Dimensionality Reduction Artifacts: An Evaluation","By Nicolas Heulot, Jean-Daniel Fekete, Michael Aupetit. 2017","Published in ArXiv.","Visualizing Dimensionality Reduction Artifacts: An Evaluation","https://api.semanticscholar.org/CorpusID:27095339"
"1778941379-7","https://archive.ics.uci.edu/dataset/59/letter+recognition","","Clustering and Community Detection with Imbalanced Clusters","By Cem Aksoylar, Jing Qian, Venkatesh Saligrama. 2016","Published in ArXiv.","Clustering and Community Detection with Imbalanced Clusters","https://api.semanticscholar.org/CorpusID:9830055"
"1778941379-8","https://archive.ics.uci.edu/dataset/59/letter+recognition","","Multi-Task Learning with Group-Specific Feature Space Sharing","By Niloofar Yousefi, Michael Georgiopoulos, Georgios Anagnostopoulos. 2015","Published in ArXiv.","Multi-Task Learning with Group-Specific Feature Space Sharing","https://api.semanticscholar.org/CorpusID:2969462"
"1778941379-9","https://archive.ics.uci.edu/dataset/59/letter+recognition","","Spectral Clustering with Unbalanced Data","By Jing Qian, Venkatesh Saligrama. 2013","Published in","Spectral Clustering with Unbalanced Data","https://api.semanticscholar.org/CorpusID:15398377"
"1778941379-10","https://archive.ics.uci.edu/dataset/59/letter+recognition","","Outlier Detection with Space Transformation and Spectral Analysis","By Ira Assent, Xuan-Hong Dang, Barbora Micenková, Raymond Ng. 2013","Published in SDM.","Outlier Detection with Space Transformation and Spectral Analysis","https://api.semanticscholar.org/CorpusID:10862710"
