web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778919574-1","https://archive.ics.uci.edu/dataset/73/mushroom","","topFiberM: Scalable and Efficient Boolean Matrix Factorization","By Abdelmoneim Desouki, Michael Roder, Axel-Cyrille Ngomo. 2019","Published in ArXiv.","topFiberM: Scalable and Efficient Boolean Matrix Factorization","https://api.semanticscholar.org/CorpusID:85501345"
"1778919574-2","https://archive.ics.uci.edu/dataset/73/mushroom","","Estimating Risk and Uncertainty in Deep Reinforcement Learning","By William Clements, Benoit-Marie Robaglia, Bastien Delft, Reda Slaoui, S'ebastien Toth. 2019","Published in ArXiv.","Estimating Risk and Uncertainty in Deep Reinforcement Learning","https://api.semanticscholar.org/CorpusID:162184328"
"1778919574-3","https://archive.ics.uci.edu/dataset/73/mushroom","","High-Performance Support Vector Machines and Its Applications","By Taiping He, Tao Wang, Ralph Abbey, Joshua Griffin. 2019","Published in ArXiv.","High-Performance Support Vector Machines and Its Applications","https://api.semanticscholar.org/CorpusID:141357396"
"1778919574-4","https://archive.ics.uci.edu/dataset/73/mushroom","","Bayesian Learning of Neural Network Architectures","By Georgi Dikov, Patrick Smagt, Justin Bayer. 2019","Published in ArXiv.","Bayesian Learning of Neural Network Architectures","https://api.semanticscholar.org/CorpusID:58004748"
"1778919574-5","https://archive.ics.uci.edu/dataset/73/mushroom","","Edibility Detection of Mushroom Using Ensemble Methods","By Nusrat Pinky, S. Islam, Rafia Alice. 2019","Published in International Journal of Image, Graphics and Signal Processing.","Edibility Detection of Mushroom Using Ensemble Methods","https://api.semanticscholar.org/CorpusID:145940156"
"1778919574-6","https://archive.ics.uci.edu/dataset/73/mushroom","","Deep Bayesian Bandits Showdown: An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling","By Carlos Riquelme, George Tucker, Jasper Snoek. 2018","Published in ArXiv.","Deep Bayesian Bandits Showdown: An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling","https://api.semanticscholar.org/CorpusID:3502463"
"1778919574-7","https://archive.ics.uci.edu/dataset/73/mushroom","","Clones in Graphs","By Stephan Doerfel, Tom Hanika, Gerd Stumme. 2018","Published in ISMIS.","Clones in Graphs","https://api.semanticscholar.org/CorpusID:51879335"
"1778919574-8","https://archive.ics.uci.edu/dataset/73/mushroom","","HyperGCN: Hypergraph Convolutional Networks for Semi-Supervised Classification","By Naganand Yadati, Madhav Nimishakavi, Prateek Yadav, Anand Louis, Partha Talukdar. 2018","Published in ArXiv.","HyperGCN: Hypergraph Convolutional Networks for Semi-Supervised Classification","https://api.semanticscholar.org/CorpusID:52175753"
"1778919574-9","https://archive.ics.uci.edu/dataset/73/mushroom","","A generalized concept-cognitive learning: A machine learning viewpoint","By Yunlong Mi, Yong Shi, Jinhai Li. 2018","Published in ArXiv.","A generalized concept-cognitive learning: A machine learning viewpoint","https://api.semanticscholar.org/CorpusID:3239246"
"1778919574-10","https://archive.ics.uci.edu/dataset/73/mushroom","","Getting More Out of Small Data Sets - Improving the Calibration Performance of Isotonic Regression by Generating More Data","By Tuomo Alasalmi, Heli Koskimäki, Jaakko Suutala, Juha Röning. 2018","Published in ICAART.","Getting More Out of Small Data Sets - Improving the Calibration Performance of Isotonic Regression by Generating More Data","https://api.semanticscholar.org/CorpusID:4370984"
"1778919574-11","https://archive.ics.uci.edu/dataset/73/mushroom","","Clones in Graphs","By Stephan Doerfel, Tom Hanika, Gerd Stumme. 2018","Published in ISMIS.","Clones in Graphs","https://api.semanticscholar.org/CorpusID:51879335"
"1778919574-12","https://archive.ics.uci.edu/dataset/73/mushroom","","Clones in Graphs","By Stephan Doerfel, Tom Hanika, Gerd Stumme. 2018","Published in","Clones in Graphs","https://api.semanticscholar.org/CorpusID:59316799"
