web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778922219-1","https://archive.ics.uci.edu/dataset/174/parkinsons","","Tabular Benchmarks for Joint Architecture and Hyperparameter Optimization","By Aaron Klein, Frank Hutter. 2019","Published in ArXiv.","Tabular Benchmarks for Joint Architecture and Hyperparameter Optimization","https://api.semanticscholar.org/CorpusID:152282594"
"1778922219-2","https://archive.ics.uci.edu/dataset/174/parkinsons","","On the Interaction Effects Between Prediction and Clustering","By Matt Barnes, Artur Dubrawski. 2018","Published in Proceedings of the 22nd International Conference on Artificial Intelligence and Statistics (AISTATS) 2019, Volume 89.","On the Interaction Effects Between Prediction and Clustering","https://api.semanticscholar.org/CorpusID:57189498"
"1778922219-3","https://archive.ics.uci.edu/dataset/174/parkinsons","","PRIL: Perceptron Ranking Using Interval Labeled Data","By Naresh Manwani. 2018","Published in ArXiv.","PRIL: Perceptron Ranking Using Interval Labeled Data","https://api.semanticscholar.org/CorpusID:3628132"
"1778922219-4","https://archive.ics.uci.edu/dataset/174/parkinsons","","Cadre Modeling: Simultaneously Discovering Subpopulations and Predictive Models","By Alexander New, Curt Breneman, Kristin Bennett. 2018","Published in In 2018 International Joint Conference on Neural Networks (IJCNN), Rio de Janeiro, Brazil, 2018.","Cadre Modeling: Simultaneously Discovering Subpopulations and Predictive Models","https://api.semanticscholar.org/CorpusID:3640523"
"1778922219-5","https://archive.ics.uci.edu/dataset/174/parkinsons","","A Riemannian gossip approach to subspace learning on Grassmann manifold","By Bamdev Mishra, Hiroyuki Kasai, Pratik Jawanpuria, Atul Saroop. 2017","Published in Machine Learning.","A Riemannian gossip approach to subspace learning on Grassmann manifold","https://api.semanticscholar.org/CorpusID:3548358"
"1778922219-6","https://archive.ics.uci.edu/dataset/174/parkinsons","","Discriminative Metric Learning with Deep Forest","By Lev Utkin, Mikhail Ryabinin. 2017","Published in ArXiv.","Discriminative Metric Learning with Deep Forest","https://api.semanticscholar.org/CorpusID:20548479"
"1778922219-7","https://archive.ics.uci.edu/dataset/174/parkinsons","","A Riemannian gossip approach to subspace learning on Grassmann manifold","By Bamdev Mishra, Hiroyuki Kasai, Pratik Jawanpuria, Atul Saroop. 2017","Published in Machine Learning.","A Riemannian gossip approach to subspace learning on Grassmann manifold","https://api.semanticscholar.org/CorpusID:3548358"
"1778922219-8","https://archive.ics.uci.edu/dataset/174/parkinsons","","A Saddle Point Approach to Structured Low-rank Matrix Learning in Large-scale Applications","By Pratik Jawanpuria, Bamdev Mishra. 2017","Published in ArXiv.","A Saddle Point Approach to Structured Low-rank Matrix Learning in Large-scale Applications","https://api.semanticscholar.org/CorpusID:15193962"
"1778922219-9","https://archive.ics.uci.edu/dataset/174/parkinsons","","Reliable Prediction Intervals for Local Linear Regression","By Mohammad Hamed, Masoud Kivaj. 2016","Published in ArXiv.","Reliable Prediction Intervals for Local Linear Regression","https://api.semanticscholar.org/CorpusID:14385417"
"1778922219-10","https://archive.ics.uci.edu/dataset/174/parkinsons","","Performance and Interpretation of Classification Models","By Yuan-chin Chang. 2015","Published in","Performance and Interpretation of Classification Models","https://api.semanticscholar.org/CorpusID:55149773"
"1778922219-11","https://archive.ics.uci.edu/dataset/174/parkinsons","","Efficient Output Kernel Learning for Multiple Tasks","By Pratik Jawanpuria, Maksim Lapin, Matthias Hein, Bernt Schiele. 2015","Published in ArXiv.","Efficient Output Kernel Learning for Multiple Tasks","https://api.semanticscholar.org/CorpusID:1368481"
"1778922219-12","https://archive.ics.uci.edu/dataset/174/parkinsons","","Adaptive Multiple Importance Sampling for Gaussian Processes","By Xiaoyu Xiong, V'aclav vSm'idl, Maurizio Filippone. 2015","Published in Journal of Statistical Computation and Simulation.","Adaptive Multiple Importance Sampling for Gaussian Processes","https://api.semanticscholar.org/CorpusID:25947679"
"1778922219-13","https://archive.ics.uci.edu/dataset/174/parkinsons","","Exploiting Diversity of Neural Network Ensembles based on Extreme Learning Machine","By José-Luis Roca-González, Andrés Bueno-Crespo, José-Luis Sancho-Gómez. 2013","Published in Neural Network World.","Exploiting Diversity of Neural Network Ensembles based on Extreme Learning Machine","https://api.semanticscholar.org/CorpusID:13940799"
"1778922219-14","https://archive.ics.uci.edu/dataset/174/parkinsons","","Node harvest","By Nicolai Meinshausen. 2009","Published in Annals of Applied Statistics 2010, Vol. 4, No. 4, 2049-2072.","Node harvest","https://api.semanticscholar.org/CorpusID:18898962"
