web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778949040-1","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","Driver Distraction Identification with an Ensemble of Convolutional Neural Networks","By Hesham Eraqi, Yehya Abouelnaga, Mohamed Saad, Mohamed Moustafa. 2019","Published in Journal of Advanced Transportation, Machine Learning in Transportation (MLT) Issue, 2019.","Driver Distraction Identification with an Ensemble of Convolutional Neural Networks","https://api.semanticscholar.org/CorpusID:59316781"
"1778949040-2","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","Nonparametric feature extraction based on Minimax distance","By Morteza Chehreghani. 2019","Published in ArXiv.","Nonparametric feature extraction based on Minimax distance","https://api.semanticscholar.org/CorpusID:140221127"
"1778949040-3","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","A graphical heuristic for reduction and partitioning of large datasets for scalable supervised training","By Sumedh Yadav, Mathis Bode. 2019","Published in ArXiv.","A graphical heuristic for reduction and partitioning of large datasets for scalable supervised training","https://api.semanticscholar.org/CorpusID:198229371"
"1778949040-4","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","Case-Based Reasoning: The Search for Similar Solutions and Identification of Outliers","By Piotr Szczepaniak, Agnieszka Duraj. 2018","Published in Complexity.","Case-Based Reasoning: The Search for Similar Solutions and Identification of Outliers","https://api.semanticscholar.org/CorpusID:52097694"
"1778949040-5","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","Distributed query-aware quantization for high-dimensional similarity searches","By Gheorghi Guzun, Guadalupe Canahuate. 2018","Published in Advances in database technology : proceedings. International Conference on Extending Database Technology.","Distributed query-aware quantization for high-dimensional similarity searches","https://api.semanticscholar.org/CorpusID:3965200"
"1778949040-6","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","A Comprehensive Survey on Human Skin Detection","By Mohammad Mahmoodi, Sayed Sayedi. 2016","Published in International Journal of Image, Graphics and Signal Processing.","A Comprehensive Survey on Human Skin Detection","https://api.semanticscholar.org/CorpusID:54670547"
"1778949040-7","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","How to Allocate Resources For Features Acquisition?","By Oran Richman, Shie Mannor. 2016","Published in ArXiv.","How to Allocate Resources For Features Acquisition?","https://api.semanticscholar.org/CorpusID:9235819"
"1778949040-8","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","Skin Segmentation using Ensemble Technique","By S. Mohanavalli. 2015","Published in Research Journal of Applied Sciences, Engineering and Technology.","Skin Segmentation using Ensemble Technique","https://api.semanticscholar.org/CorpusID:16113594"
"1778949040-9","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","Ball*-tree: Efficient spatial indexing for constrained nearest-neighbor search in metric spaces","By Mohamad Dolatshah, Ali Hadian, Behrouz Minaei-Bidgoli. 2015","Published in ArXiv.","Ball*-tree: Efficient spatial indexing for constrained nearest-neighbor search in metric spaces","https://api.semanticscholar.org/CorpusID:14162909"
"1778949040-10","https://archive.ics.uci.edu/dataset/229/skin+segmentation","","Comparison of Instance Selection Algorithms II. Results and Comments","By Marek Grochowski, Norbert Jankowski. 2004","Published in ICAISC.","Comparison of Instance Selection Algorithms II. Results and Comments","https://api.semanticscholar.org/CorpusID:13458178"
