web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778920724-1","https://archive.ics.uci.edu/dataset/94/spambase","","Setting decision thresholds when operating conditions are uncertain","By Cèsar Ferri, José Hernández-Orallo, Peter Flach. 2019","Published in Data Mining and Knowledge Discovery.","Setting decision thresholds when operating conditions are uncertain","https://api.semanticscholar.org/CorpusID:67184677"
"1778920724-2","https://archive.ics.uci.edu/dataset/94/spambase","","Communication-Efficient Accurate Statistical Estimation","By Jianqing Fan, Yongyi Guo, Kaizheng Wang. 2019","Published in ArXiv.","Communication-Efficient Accurate Statistical Estimation","https://api.semanticscholar.org/CorpusID:186206580"
"1778920724-3","https://archive.ics.uci.edu/dataset/94/spambase","","Explaining Vulnerabilities to Adversarial Machine Learning through Visual Analytics","By Yuxin Ma, Tiankai Xie, Jundong Li, Ross Maciejewski. 2019","Published in ArXiv.","Explaining Vulnerabilities to Adversarial Machine Learning through Visual Analytics","https://api.semanticscholar.org/CorpusID:197431202"
"1778920724-4","https://archive.ics.uci.edu/dataset/94/spambase","","Minimax Optimal Online Stochastic Learning for Sequences of Convex Functions under Sub-Gradient Observation Failures","By Hakan Gokcesu, Suleyman Kozat. 2019","Published in ArXiv.","Minimax Optimal Online Stochastic Learning for Sequences of Convex Functions under Sub-Gradient Observation Failures","https://api.semanticscholar.org/CorpusID:128342895"
"1778920724-5","https://archive.ics.uci.edu/dataset/94/spambase","","Recombinator-k-means: Enhancing k-means++ by seeding from pools of previous runs","By Carlo Baldassi. 2019","Published in ArXiv.","Recombinator-k-means: Enhancing k-means++ by seeding from pools of previous runs","https://api.semanticscholar.org/CorpusID:143424878"
"1778920724-6","https://archive.ics.uci.edu/dataset/94/spambase","","Attack Strength vs. Detectability Dilemma in Adversarial Machine Learning","By Christopher Frederickson, Michael Moore, Glenn Dawson, Robi Polikar. 2018","Published in ArXiv.","Attack Strength vs. Detectability Dilemma in Adversarial Machine Learning","https://api.semanticscholar.org/CorpusID:3401661"
"1778920724-7","https://archive.ics.uci.edu/dataset/94/spambase","","A Scalable Algorithm for Higher-order Features Generation using MinHash","By Pooja A, Naveen Nair, Rajeev Rastogi. 2018","Published in CIKM '18.","A Scalable Algorithm for Higher-order Features Generation using MinHash","https://api.semanticscholar.org/CorpusID:53039798"
"1778920724-8","https://archive.ics.uci.edu/dataset/94/spambase","","Graph-based Selective Outlier Ensembles","By Hamed Sarvari, Carlotta Domeniconi, Giovanni Stilo. 2018","Published in ArXiv.","Graph-based Selective Outlier Ensembles","https://api.semanticscholar.org/CorpusID:4903507"
"1778920724-9","https://archive.ics.uci.edu/dataset/94/spambase","","Using Randomness to Improve Robustness of Machine-Learning Models Against Evasion Attacks","By Fan Yang, Zhiyuan Chen. 2018","Published in ArXiv.","Using Randomness to Improve Robustness of Machine-Learning Models Against Evasion Attacks","https://api.semanticscholar.org/CorpusID:51967403"
"1778920724-10","https://archive.ics.uci.edu/dataset/94/spambase","","Robust Fully Distributed Minibatch Gradient Descent with Privacy Preservation","By Gábor Danner, Árpád Berta, István Hegedüs, Márk Jelasity. 2018","Published in Security and Communication Networks.","Robust Fully Distributed Minibatch Gradient Descent with Privacy Preservation","https://api.semanticscholar.org/CorpusID:48361151"
"1778920724-11","https://archive.ics.uci.edu/dataset/94/spambase","","Security Theater: On the Vulnerability of Classifiers to Exploratory Attacks","By Tegjyot Sethi, Mehmed Kantardzic, Joung Ryu. 2018","Published in ArXiv.","Security Theater: On the Vulnerability of Classifiers to Exploratory Attacks","https://api.semanticscholar.org/CorpusID:4407690"
"1778920724-12","https://archive.ics.uci.edu/dataset/94/spambase","","A Partially Inexact Alternating Direction Method of Multipliers and its Iteration-Complexity Analysis","By Vando Adona, Max Goncalves, Jefferson Melo. 2018","Published in J. Optimization Theory and Applications.","A Partially Inexact Alternating Direction Method of Multipliers and its Iteration-Complexity Analysis","https://api.semanticscholar.org/CorpusID:54541777"
"1778920724-13","https://archive.ics.uci.edu/dataset/94/spambase","","Cost-Effective Active Learning from Diverse Labelers","By Sheng-Jun Huang, Jia-Lve Chen, Xin Mu, Zhi-Hua Zhou. 2017","Published in IJCAI.","Cost-Effective Active Learning from Diverse Labelers","https://api.semanticscholar.org/CorpusID:10834502"
"1778920724-14","https://archive.ics.uci.edu/dataset/94/spambase","","Game-Theoretic Design of Secure and Resilient Distributed Support Vector Machines with Adversaries","By Rui Zhang, Quanyan Zhu. 2017","Published in ArXiv.","Game-Theoretic Design of Secure and Resilient Distributed Support Vector Machines with Adversaries","https://api.semanticscholar.org/CorpusID:36601807"
"1778920724-15","https://archive.ics.uci.edu/dataset/94/spambase","","Data Driven Exploratory Attacks on Black Box Classifiers in Adversarial Domains","By Tegjyot Sethi, Mehmed Kantardzic. 2017","Published in ArXiv.","Data Driven Exploratory Attacks on Black Box Classifiers in Adversarial Domains","https://api.semanticscholar.org/CorpusID:4301311"
