web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778975678-1","https://archive.ics.uci.edu/dataset/104/university","","Generating Data using Monte Carlo Dropout","By Kristian Miok, Dong Nguyen-Doan, Daniela Zaharie, Marko Robnik-vSikonja. 2019","Published in ArXiv.","Generating Data using Monte Carlo Dropout","https://api.semanticscholar.org/CorpusID:202565646"
"1778975678-2","https://archive.ics.uci.edu/dataset/104/university","","Efficient single input-output layer spiking neural classifier with time-varying weight model","By Abeegithan Jeyasothy, Savitha Ramasamy, Suresh Sundaram. 2019","Published in ArXiv.","Efficient single input-output layer spiking neural classifier with time-varying weight model","https://api.semanticscholar.org/CorpusID:128361315"
"1778975678-3","https://archive.ics.uci.edu/dataset/104/university","","Algorithms with Greedy Heuristic Procedures for Mixture Probability Distribution Separation","By L Kazakovtsev, Dmitry Stashkov, Mikhail Gudyma, Vladimir Kazakovtsev. 2019","Published in YUJOR.","Algorithms with Greedy Heuristic Procedures for Mixture Probability Distribution Separation","https://api.semanticscholar.org/CorpusID:125868053"
"1778975678-4","https://archive.ics.uci.edu/dataset/104/university","","A Strongly Consistent Sparse $k$-means Clustering with Direct $l_1$ Penalization on Variable Weights","By Saptarshi Chakraborty, Swagatam Das. 2019","Published in ArXiv.","A Strongly Consistent Sparse $k$-means Clustering with Direct $l_1$ Penalization on Variable Weights","https://api.semanticscholar.org/CorpusID:85502753"
"1778975678-5","https://archive.ics.uci.edu/dataset/104/university","","Preference rules for label ranking: Mining patterns in multi-target relations","By Cl'audio S'a, Paulo Azevedo, Carlos Soares, Al'ipio Jorge, Arno Knobbe. 2019","Published in Information Fusion, Volume 40, March 2018, Pages 112-125.","Preference rules for label ranking: Mining patterns in multi-target relations","https://api.semanticscholar.org/CorpusID:40205627"
"1778975678-6","https://archive.ics.uci.edu/dataset/104/university","","Algorithms with Greedy Heuristic Procedures for Mixture Probability Distribution Separation","By L Kazakovtsev, Dmitry Stashkov, Mikhail Gudyma, Vladimir Kazakovtsev. 2019","Published in YUJOR.","Algorithms with Greedy Heuristic Procedures for Mixture Probability Distribution Separation","https://api.semanticscholar.org/CorpusID:125868053"
"1778975678-7","https://archive.ics.uci.edu/dataset/104/university","","Efficient single input-output layer spiking neural classifier with time-varying weight model","By Abeegithan Jeyasothy, Savitha Ramasamy, Suresh Sundaram. 2019","Published in ArXiv.","Efficient single input-output layer spiking neural classifier with time-varying weight model","https://api.semanticscholar.org/CorpusID:128361315"
"1778975678-8","https://archive.ics.uci.edu/dataset/104/university","","Evaluation of Spatial-Temporal Anomalies in the Analysis of Human Movement","By Rui Varandas, Duarte Folgado, Hugo Gamboa. 2019","Published in BIOSIGNALS.","Evaluation of Spatial-Temporal Anomalies in the Analysis of Human Movement","https://api.semanticscholar.org/CorpusID:88477236"
"1778975678-9","https://archive.ics.uci.edu/dataset/104/university","","Graph-Embedded Multi-layer Kernel Extreme Learning Machine for One-class Classification or (Graph-Embedded Multi-layer Kernel Ridge Regression for One-class Classification)","By Chandan Gautam, Aruna Tiwari, M. Tanveer. 2019","Published in ArXiv.","Graph-Embedded Multi-layer Kernel Extreme Learning Machine for One-class Classification or (Graph-Embedded Multi-layer Kernel Ridge Regression for One-class Classification)","https://api.semanticscholar.org/CorpusID:128354095"
"1778975678-10","https://archive.ics.uci.edu/dataset/104/university","","Hierarchical Clustering Supported by Reciprocal Nearest Neighbors","By Wen-Bo Xie, Yan-Li Lee, Cong Wang, Duan-Bing Chen, Tao Zhou. 2019","Published in ArXiv.","Hierarchical Clustering Supported by Reciprocal Nearest Neighbors","https://api.semanticscholar.org/CorpusID:195886126"
