web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,item_page_title,item_page_link
"1778829879-1","https://archive.ics.uci.edu/dataset/109/wine","","An information criterion for auxiliary variable selection in incomplete data analysis","By Shinpei Imori, Hidetoshi Shimodaira. 2019","Published in Entropy.","An information criterion for auxiliary variable selection in incomplete data analysis","https://api.semanticscholar.org/CorpusID:88524111"
"1778829879-2","https://archive.ics.uci.edu/dataset/109/wine","","Clustering through the optimal transport barycenter problem","By Hongkang Yang, Esteban Tabak. 2019","Published in","Clustering through the optimal transport barycenter problem","https://api.semanticscholar.org/CorpusID:85464085"
"1778829879-3","https://archive.ics.uci.edu/dataset/109/wine","","Causal Regularization","By Dominik Janzing. 2019","Published in ArXiv.","Causal Regularization","https://api.semanticscholar.org/CorpusID:195750853"
"1778829879-4","https://archive.ics.uci.edu/dataset/109/wine","","Supporting Analysis of Dimensionality Reduction Results with Contrastive Learning","By Takanori Fujiwara, Oh-Hyun Kwon, Kwan-Liu Ma. 2019","Published in ArXiv.","Supporting Analysis of Dimensionality Reduction Results with Contrastive Learning","https://api.semanticscholar.org/CorpusID:150373771"
"1778829879-5","https://archive.ics.uci.edu/dataset/109/wine","","In Defense of Synthetic Data","By Luke Rodriguez, Bill Howe. 2019","Published in ArXiv.","In Defense of Synthetic Data","https://api.semanticscholar.org/CorpusID:146121410"
"1778829879-6","https://archive.ics.uci.edu/dataset/109/wine","","Clustering through the optimal transport barycenter problem","By Hongkang Yang, Esteban Tabak. 2019","Published in","Clustering through the optimal transport barycenter problem","https://api.semanticscholar.org/CorpusID:85464085"
"1778829879-7","https://archive.ics.uci.edu/dataset/109/wine","","A Neighborhood Rough Sets-Based Attribute Reduction Method Using Lebesgue and Entropy Measures","By Lin Sun, Lanying Wang, Jiucheng Xu, Shiguang Zhang. 2019","Published in Entropy.","A Neighborhood Rough Sets-Based Attribute Reduction Method Using Lebesgue and Entropy Measures","https://api.semanticscholar.org/CorpusID:68244677"
"1778829879-8","https://archive.ics.uci.edu/dataset/109/wine","","Gradient Methods for Solving Stackelberg Games","By Roi Naveiro, David Insua. 2019","Published in ArXiv.","Gradient Methods for Solving Stackelberg Games","https://api.semanticscholar.org/CorpusID:201070162"
"1778829879-9","https://archive.ics.uci.edu/dataset/109/wine","","Automatic discrete differentiation and its applications","By Ai Ishikawa, Takaharu Yaguchi. 2019","Published in ArXiv.","Automatic discrete differentiation and its applications","https://api.semanticscholar.org/CorpusID:160009749"
"1778829879-10","https://archive.ics.uci.edu/dataset/109/wine","","Solving Multifacility Location Problems by DC Algorithms","By Anuj Bajaj, Boris Mordukhovich, Nguyen Nam, Tuyen Tran. 2019","Published in","Solving Multifacility Location Problems by DC Algorithms","https://api.semanticscholar.org/CorpusID:195584021"
"1778829879-11","https://archive.ics.uci.edu/dataset/109/wine","","Maximal Margin Distribution Support Vector Regression with coupled Constraints-based Convex Optimization","By Gaoyang Li, Jinyu Yang, Chunguo Wu, Qin Ma. 2019","Published in ArXiv.","Maximal Margin Distribution Support Vector Regression with coupled Constraints-based Convex Optimization","https://api.semanticscholar.org/CorpusID:146121341"
"1778829879-12","https://archive.ics.uci.edu/dataset/109/wine","","HexaGAN: Generative Adversarial Nets for Real World Classification","By Uiwon Hwang, Dahuin Jung, Sungroh Yoon. 2019","Published in ArXiv.","HexaGAN: Generative Adversarial Nets for Real World Classification","https://api.semanticscholar.org/CorpusID:67855874"
"1778829879-13","https://archive.ics.uci.edu/dataset/109/wine","","Solving Interpretable Kernel Dimension Reduction","By Chieh Wu, Jared Miller, Yale Chang, Mario Sznaier, Jennifer Dy. 2019","Published in ArXiv.","Solving Interpretable Kernel Dimension Reduction","https://api.semanticscholar.org/CorpusID:202539210"
"1778829879-14","https://archive.ics.uci.edu/dataset/109/wine","","Inductive Logic Programming via Differentiable Deep Neural Logic Networks","By Ali Payani, Faramarz Fekri. 2019","Published in ArXiv.","Inductive Logic Programming via Differentiable Deep Neural Logic Networks","https://api.semanticscholar.org/CorpusID:182952646"
"1778829879-15","https://archive.ics.uci.edu/dataset/109/wine","","Spectral Non-Convex Optimization for Dimension Reduction with Hilbert-Schmidt Independence Criterion","By Chieh Wu, Jared Miller, Yale Chang, Mario Sznaier, Jennifer Dy. 2019","Published in ArXiv.","Spectral Non-Convex Optimization for Dimension Reduction with Hilbert-Schmidt Independence Criterion","https://api.semanticscholar.org/CorpusID:202558807"
"1778829879-16","https://archive.ics.uci.edu/dataset/109/wine","","Spectral Non-Convex Optimization for Dimension Reduction with Hilbert-Schmidt Independence Criterion","By Chieh Wu, Jared Miller, Yale Chang, Mario Sznaier, Jennifer Dy. 2019","Published in ArXiv.","Spectral Non-Convex Optimization for Dimension Reduction with Hilbert-Schmidt Independence Criterion","https://api.semanticscholar.org/CorpusID:202558807"
"1778829879-17","https://archive.ics.uci.edu/dataset/109/wine","","Finite Sample $L_2$ Bounds for Sequential Monte Carlo and Adaptive Path Selection","By Joseph Marion, Scott Schmidler. 2018","Published in","Finite Sample $L_2$ Bounds for Sequential Monte Carlo and Adaptive Path Selection","https://api.semanticscholar.org/CorpusID:88523022"
"1778829879-18","https://archive.ics.uci.edu/dataset/109/wine","","M L ] 1 0 D ec 2 01 8 Semi-Analytic Resampling in Lasso","By Tomoyuki Obuchi, Yoshiyuki Kabashima. 2018","Published in","M L ] 1 0 D ec 2 01 8 Semi-Analytic Resampling in Lasso","https://api.semanticscholar.org/CorpusID:55388585"
"1778829879-19","https://archive.ics.uci.edu/dataset/109/wine","","Autotune: A Derivative-free Optimization Framework for Hyperparameter Tuning","By Patrick Koch, Oleg Golovidov, Steven Gardner, Brett Wujek, Joshua Griffin, Yan Xu. 2018","Published in ArXiv.","Autotune: A Derivative-free Optimization Framework for Hyperparameter Tuning","https://api.semanticscholar.org/CorpusID:5051230"
"1778829879-20","https://archive.ics.uci.edu/dataset/109/wine","","A New Homotopy Proximal Variable-Metric Framework for Composite Convex Minimization","By Quoc Tran-Dinh, Liang Ling, Kim-Chuan Toh. 2018","Published in","A New Homotopy Proximal Variable-Metric Framework for Composite Convex Minimization","https://api.semanticscholar.org/CorpusID:119177521"
"1778829879-21","https://archive.ics.uci.edu/dataset/109/wine","","M L ] 1 0 D ec 2 01 8 Semi-Analytic Resampling in Lasso","By Tomoyuki Obuchi, Yoshiyuki Kabashima. 2018","Published in","M L ] 1 0 D ec 2 01 8 Semi-Analytic Resampling in Lasso","https://api.semanticscholar.org/CorpusID:55388585"
"1778829879-22","https://archive.ics.uci.edu/dataset/109/wine","","Principal Component Analysis: A Natural Approach to Data Exploration","By Felipe Gewers, Gustavo Ferreira, Henrique Arruda, Filipi Silva, Cesar Comin, Diego Amancio, Luciano Costa. 2018","Published in ArXiv.","Principal Component Analysis: A Natural Approach to Data Exploration","https://api.semanticscholar.org/CorpusID:4717487"
"1778829879-23","https://archive.ics.uci.edu/dataset/109/wine","","LEAFAGE: Example-based and Feature importance-based Explanationsfor Black-box ML models","By Ajaya Adhikari, D.M.J Tax, Riccardo Satta, Matthias Fath. 2018","Published in","LEAFAGE: Example-based and Feature importance-based Explanationsfor Black-box ML models","https://api.semanticscholar.org/CorpusID:201058546"
"1778829879-24","https://archive.ics.uci.edu/dataset/109/wine","","Semi-Analytic Resampling in Lasso","By Tomoyuki Obuchi, Yoshiyuki Kabashima. 2018","Published in J. Mach. Learn. Res..","Semi-Analytic Resampling in Lasso","https://api.semanticscholar.org/CorpusID:88517966"
"1778829879-25","https://archive.ics.uci.edu/dataset/109/wine","","Coloring black boxes: visualization of neural network decisions","By Wlodzislaw Duch. 2018","Published in ArXiv.","Coloring black boxes: visualization of neural network decisions","https://api.semanticscholar.org/CorpusID:3534774"
"1778829879-26","https://archive.ics.uci.edu/dataset/109/wine","","Autotune: A Derivative-free Optimization Framework for Hyperparameter Tuning","By Patrick Koch, Oleg Golovidov, Steven Gardner, Brett Wujek, Joshua Griffin, Yan Xu. 2018","Published in ArXiv.","Autotune: A Derivative-free Optimization Framework for Hyperparameter Tuning","https://api.semanticscholar.org/CorpusID:5051230"
"1778829879-27","https://archive.ics.uci.edu/dataset/109/wine","","Enhanced Ensemble Clustering via Fast Propagation of Cluster-wise Similarities","By Dong Huang, Chang-Dong Wang, Hongxing Peng, Jianhuang Lai, Chee-Keong Kwoh. 2018","Published in ArXiv.","Enhanced Ensemble Clustering via Fast Propagation of Cluster-wise Similarities","https://api.semanticscholar.org/CorpusID:53113765"
"1778829879-28","https://archive.ics.uci.edu/dataset/109/wine","","Number of Instances for Reliable Feature Ranking in a Given Problem","By Marko Bohanec, Mirjana Borštnar, Marko Robnik-Šikonja. 2018","Published in Business Systems Research Journal.","Number of Instances for Reliable Feature Ranking in a Given Problem","https://api.semanticscholar.org/CorpusID:125461973"
"1778829879-29","https://archive.ics.uci.edu/dataset/109/wine","","GPyTorch: Blackbox Matrix-Matrix Gaussian Process Inference with GPU Acceleration","By Jacob Gardner, Geoff Pleiss, David Bindel, Kilian Weinberger, Andrew Wilson. 2018","Published in ArXiv.","GPyTorch: Blackbox Matrix-Matrix Gaussian Process Inference with GPU Acceleration","https://api.semanticscholar.org/CorpusID:52890394"
"1778829879-30","https://archive.ics.uci.edu/dataset/109/wine","","The efficiency of classification in imperfect databases: comparing kNN and correlation clustering","By Mária Bakó. 2018","Published in Annales Mathematicae et Informaticae.","The efficiency of classification in imperfect databases: comparing kNN and correlation clustering","https://api.semanticscholar.org/CorpusID:67919894"
"1778829879-31","https://archive.ics.uci.edu/dataset/109/wine","","Dual optimization for convex constrained objectives without the gradient-Lipschitz assumption","By Martin Bompaire, Emmanuel Bacry, St'ephane Gaiffas. 2018","Published in ArXiv.","Dual optimization for convex constrained objectives without the gradient-Lipschitz assumption","https://api.semanticscholar.org/CorpusID:49671231"
"1778829879-32","https://archive.ics.uci.edu/dataset/109/wine","","Impact of Learners’ Quality and Diversity in Collaborative Clustering","By Parisa Rastin, Basarab Matei, Guénaël Cabanes, Nistor Grozavu, Younès Bennani. 2018","Published in J. Artif. Intell. Soft Comput. Res..","Impact of Learners’ Quality and Diversity in Collaborative Clustering","https://api.semanticscholar.org/CorpusID:67933074"
"1778829879-33","https://archive.ics.uci.edu/dataset/109/wine","","Function space analysis of deep learning representation layers","By Oren Elisha, Shai Dekel. 2017","Published in ArXiv.","Function space analysis of deep learning representation layers","https://api.semanticscholar.org/CorpusID:22789450"
"1778829879-34","https://archive.ics.uci.edu/dataset/109/wine","","A Study of Fuzzy and Non-fuzzy clustering algorithms on Wine Data","By B. Venkataramana, L. Padmasree, M. Rao, D. Rekha, G. Ganesan. 2017","Published in Communications on Advanced Computational Science with Applications.","A Study of Fuzzy and Non-fuzzy clustering algorithms on Wine Data","https://api.semanticscholar.org/CorpusID:55521075"
"1778829879-35","https://archive.ics.uci.edu/dataset/109/wine","","Nonconvex Sparse Spectral Clustering by Alternating Direction Method of Multipliers and Its Convergence Analysis","By Canyi Lu, Jiashi Feng, Zhouchen Lin, Shuicheng Yan. 2017","Published in ArXiv.","Nonconvex Sparse Spectral Clustering by Alternating Direction Method of Multipliers and Its Convergence Analysis","https://api.semanticscholar.org/CorpusID:19173627"
"1778829879-36","https://archive.ics.uci.edu/dataset/109/wine","","Iterative methods for solving factorized linear systems","By Anna Ma, Deanna Needell, Aaditya Ramdas. 2017","Published in SIAM J. Matrix Analysis Applications.","Iterative methods for solving factorized linear systems","https://api.semanticscholar.org/CorpusID:43922966"
"1778829879-37","https://archive.ics.uci.edu/dataset/109/wine","","Differentially Private Bayesian Learning on Distributed Data","By Mikko Heikkila, Eemil Lagerspetz, Samuel Kaski, Kana Shimizu, Sasu Tarkoma, Antti Honkela. 2017","Published in ArXiv.","Differentially Private Bayesian Learning on Distributed Data","https://api.semanticscholar.org/CorpusID:621737"
"1778829879-38","https://archive.ics.uci.edu/dataset/109/wine","","Detecting confounding in multivariate linear models via spectral analysis","By Dominik Janzing, Bernhard Schoelkopf. 2017","Published in Journal of Causal Inference, 2017.","Detecting confounding in multivariate linear models via spectral analysis","https://api.semanticscholar.org/CorpusID:88515270"
"1778829879-39","https://archive.ics.uci.edu/dataset/109/wine","","Fault Diagnosis Method Based on Information Entropy and Relative Principal Component Analysis","By Xiaoming Xu, Chenglin Wen. 2017","Published in J. Control. Sci. Eng..","Fault Diagnosis Method Based on Information Entropy and Relative Principal Component Analysis","https://api.semanticscholar.org/CorpusID:56113549"
"1778829879-40","https://archive.ics.uci.edu/dataset/109/wine","","A Top-Down Partitional Method for Mutual Subspace Clusters Using K-Medoids Clustering","By B. Lakshmi, K. Madhuri. 2017","Published in International Journal of Information Engineering and Electronic Business.","A Top-Down Partitional Method for Mutual Subspace Clusters Using K-Medoids Clustering","https://api.semanticscholar.org/CorpusID:55850462"
"1778829879-41","https://archive.ics.uci.edu/dataset/109/wine","","Implementation of Clustering Algorithms for real datasets in Medical Diagnostics using MATLAB","By B. Venkataramana, L. Padmasree, M. Rao, G. Ganesan, K. Krishna. 2017","Published in Journal of Soft Computing and Applications.","Implementation of Clustering Algorithms for real datasets in Medical Diagnostics using MATLAB","https://api.semanticscholar.org/CorpusID:55625973"
"1778829879-42","https://archive.ics.uci.edu/dataset/109/wine","","Clustering of Data with Missing Entries using Non-convex Fusion Penalties","By Sunrita Poddar, Mathews Jacob. 2017","Published in ArXiv.","Clustering of Data with Missing Entries using Non-convex Fusion Penalties","https://api.semanticscholar.org/CorpusID:29252594"
"1778829879-43","https://archive.ics.uci.edu/dataset/109/wine","","Unsupervised Domain Adaptation with Copula Models","By Cuong Tran, Ognjen Rudovic, Vladimir Pavlovic. 2017","Published in ArXiv.","Unsupervised Domain Adaptation with Copula Models","https://api.semanticscholar.org/CorpusID:10332760"
"1778829879-44","https://archive.ics.uci.edu/dataset/109/wine","","Active Learning Using Uncertainty Information","By Yazhou Yang, Marco Loog. 2017","Published in ArXiv.","Active Learning Using Uncertainty Information","https://api.semanticscholar.org/CorpusID:10043414"
"1778829879-45","https://archive.ics.uci.edu/dataset/109/wine","","Spectral Algorithms for Computing Fair Support Vector Machines","By Matt Olfat, Anil Aswani. 2017","Published in ArXiv.","Spectral Algorithms for Computing Fair Support Vector Machines","https://api.semanticscholar.org/CorpusID:4869288"
"1778829879-46","https://archive.ics.uci.edu/dataset/109/wine","","Ensemble-driven support vector clustering: From ensemble learning to automatic parameter estimation","By Dong Huang, Chang-Dong Wang, Jian-Huang Lai, Yun Liang, Shan Bian, Yu Chen. 2016","Published in ArXiv.","Ensemble-driven support vector clustering: From ensemble learning to automatic parameter estimation","https://api.semanticscholar.org/CorpusID:7194903"
"1778829879-47","https://archive.ics.uci.edu/dataset/109/wine","","Neural Autoregressive Distribution Estimation","By Benigno Uria, Marc-Alexandre Cot'e, Karol Gregor, Iain Murray, Hugo Larochelle. 2016","Published in ArXiv.","Neural Autoregressive Distribution Estimation","https://api.semanticscholar.org/CorpusID:327844"
"1778829879-48","https://archive.ics.uci.edu/dataset/109/wine","","Inferring object rankings based on noisy pairwise comparisons from multiple annotators","By Rahul Gupta, Shrikanth Narayanan. 2016","Published in ArXiv.","Inferring object rankings based on noisy pairwise comparisons from multiple annotators","https://api.semanticscholar.org/CorpusID:13998153"
"1778829879-49","https://archive.ics.uci.edu/dataset/109/wine","","A dynamic model of classifier competence based on the local fuzzy confusion matrix and the random reference classifier","By Pawel Trajdos, Marek Kurzynski. 2016","Published in Applied Mathematics and Computer Science.","A dynamic model of classifier competence based on the local fuzzy confusion matrix and the random reference classifier","https://api.semanticscholar.org/CorpusID:46096739"
"1778829879-50","https://archive.ics.uci.edu/dataset/109/wine","","Forest Floor Visualizations of Random Forests","By Soeren Welling, Hanne Refsgaard, Per Brockhoff, Line Clemmensen. 2016","Published in ArXiv.","Forest Floor Visualizations of Random Forests","https://api.semanticscholar.org/CorpusID:15388657"
"1778829879-51","https://archive.ics.uci.edu/dataset/109/wine","","A New Evaluation Measure for Feature Subset Selection with Genetic Algorithm","By Saptarsi Goswami, Sourav Saha, Subhayu Chakravorty, Amlan Chakrabarti, Basabi Chakraborty. 2015","Published in International Journal of Intelligent Systems and Applications.","A New Evaluation Measure for Feature Subset Selection with Genetic Algorithm","https://api.semanticscholar.org/CorpusID:61132590"
"1778829879-52","https://archive.ics.uci.edu/dataset/109/wine","","Relations Between Adjacency and Modularity Graph Partitioning","By Hansi Jiang, Carl Meyer. 2015","Published in","Relations Between Adjacency and Modularity Graph Partitioning","https://api.semanticscholar.org/CorpusID:16759336"
"1778829879-53","https://archive.ics.uci.edu/dataset/109/wine","","RRegrs: an R package for computer-aided model selection with multiple regression models","By Georgia Tsiliki, Cristian Munteanu, Jose Seoane, Carlos Fernandez-Lozano, Haralambos Sarimveis, Egon Willighagen. 2015","Published in Journal of cheminformatics.","RRegrs: an R package for computer-aided model selection with multiple regression models","https://api.semanticscholar.org/CorpusID:16811069"
"1778829879-54","https://archive.ics.uci.edu/dataset/109/wine","","Spectral Clustering with Local Projection Distance Measurement","By Chen Diao, Ai-Hua Zhang, Bin Wang. 2015","Published in Mathematical Problems in Engineering.","Spectral Clustering with Local Projection Distance Measurement","https://api.semanticscholar.org/CorpusID:56057596"
"1778829879-55","https://archive.ics.uci.edu/dataset/109/wine","","Change Detection in Multivariate Datastreams: Likelihood and Detectability Loss","By Cesare Alippi, Giacomo Boracchi, Diego Carrera, Manuel Roveri. 2015","Published in Proceedings of the Twenty-Fifth International Joint Conference on Artificial Intelligence (IJCAI), 2016.","Change Detection in Multivariate Datastreams: Likelihood and Detectability Loss","https://api.semanticscholar.org/CorpusID:11056518"
"1778829879-56","https://archive.ics.uci.edu/dataset/109/wine","","Spectral Clustering with Local Projection Distance Measurement","By Chen Diao, Ai-Hua Zhang, Bin Wang. 2015","Published in Mathematical Problems in Engineering.","Spectral Clustering with Local Projection Distance Measurement","https://api.semanticscholar.org/CorpusID:56057596"
"1778829879-57","https://archive.ics.uci.edu/dataset/109/wine","","Change Detection in Multivariate Datastreams: Likelihood and Detectability Loss","By Cesare Alippi, Giacomo Boracchi, Diego Carrera, Manuel Roveri. 2015","Published in Proceedings of the Twenty-Fifth International Joint Conference on Artificial Intelligence (IJCAI), 2016.","Change Detection in Multivariate Datastreams: Likelihood and Detectability Loss","https://api.semanticscholar.org/CorpusID:11056518"
"1778829879-58","https://archive.ics.uci.edu/dataset/109/wine","","Distance Based Multiple Kernel ELM: A Fast Multiple Kernel Learning Approach","By Chengzhang Zhu, Xinwang Liu, Qiang Liu, Yuewei Ming, Jianping Yin. 2015","Published in Mathematical Problems in Engineering.","Distance Based Multiple Kernel ELM: A Fast Multiple Kernel Learning Approach","https://api.semanticscholar.org/CorpusID:55576318"
